"","division_local_name","code","division_code","name","state","pop","area","density","division_eng_name","gdp","gdppc","staet_abbr","mu","y0to5","y6to14","y15to24","y25to39","y40to59","y60","yunder15","urban","rural","income_mean","income_median"
"1","Alagoas",270030,27,"Arapiraca","AL",233047,345.65,674.22,"Alagoas",3974580,19389.15,"AL","Arapiraca",0.101,0.174,0.195,0.241,0.198,0.092,0.275,0.848,0.152,729,493
"2","Alagoas",270430,27,"Maceió","AL",1025360,509.32,2013.19,"Alagoas",19099951,22126.34,"AL","Maceió",0.093,0.157,0.184,0.26,0.222,0.085,0.25,0.999,0.001,729,493
"3","Amapá",160030,16,"Macapá","AP",512902,6563.85,78.14,"Amapa",10065508,22181.72,"AP","Macapá",0.118,0.194,0.213,0.261,0.164,0.052,0.312,0.957,0.043,874,500
"4","Amapá",160060,16,"Santana","AP",123096,1541.22,79.87,"Amapa",1943437,17307.11,"AP","Santana",0.123,0.207,0.223,0.244,0.148,0.055,0.33,0.979,0.021,874,500
"5","Amazonas",130190,13,"Itacoatiara","AM",102701,8891.91,11.55,"Amazonas",1773098,18818.5,"AM","Itacoatiara",0.137,0.219,0.194,0.22,0.157,0.073,0.356,0.67,0.33,838,475
"6","Amazonas",130260,13,"Manaus","AM",2219580,11401.09,194.68,"Amazonas",63229972,36445.75,"AM","Manaus",0.109,0.174,0.198,0.273,0.187,0.06,0.283,0.995,0.005,838,475
"7","Amazonas",130340,13,"Parintins","AM",115363,5956.05,19.37,"Amazonas",1072470,9890.96,"AM","Parintins",0.14,0.236,0.204,0.203,0.147,0.07,0.376,0.685,0.315,838,475
"8","Bahia",290070,29,"Alagoinhas","BA",152327,707.84,215.2,"Bahia",3113907,26272.95,"BA","Alagoinhas",0.084,0.149,0.184,0.264,0.215,0.104,0.233,0.874,0.126,912,532
"9","Bahia",290320,29,"Barreiras","BA",156975,8051.27,19.5,"Bahia",4329060,30842.2,"BA","Barreiras",0.103,0.166,0.208,0.271,0.188,0.064,0.269,0.9,0.1,912,532
"10","Bahia",290570,29,"Camaçari","BA",304302,785.42,387.44,"Bahia",17500514,81105.66,"BA","Camaçari",0.098,0.159,0.194,0.291,0.2,0.059,0.257,0.955,0.045,912,532
"11","Bahia",291072,29,"Eunápolis","BA",114396,1425.97,80.22,"Bahia",2553612,25735.13,"BA","Eunápolis",0.101,0.174,0.186,0.257,0.198,0.083,0.275,0.932,0.068,912,532
"12","Bahia",291080,29,"Feira de Santana","BA",619609,1304.42,475.01,"Bahia",12501471,24074.06,"BA","Feira de Santana",0.089,0.152,0.189,0.273,0.21,0.087,0.241,0.917,0.083,912,532
"13","Bahia",291360,29,"Ilhéus","BA",159923,1588.56,100.67,"Bahia",3601699,25829.06,"BA","Ilhéus",0.092,0.16,0.179,0.243,0.223,0.103,0.252,0.843,0.157,912,532
"14","Bahia",291480,29,"Itabuna","BA",213685,401.03,532.84,"Bahia",3641893,19184.77,"BA","Itabuna",0.083,0.145,0.182,0.253,0.228,0.11,0.228,0.976,0.025,912,532
