"","date","division_local_name","win7_stay_at_home","win7_school_close","win7_childcare_close","win7_office_close","win7_shop_close","win7_restaurant_close","win7_bar_close","win7_entertainment_close","win7_cultural_close","win7_worship_close","win7_sports_indoor_close","win7_sports_outdoor_close","win7_gathering_inside_10lower","win7_gathering_outside_10lower","win7_gathering_inside_10over","win7_gathering_outside_10over","win7_wear_mask"
"1","2020-04-03","Amazonas",0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0.5
"2","2020-04-03","Roraima",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"3","2020-04-03","Pará",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"4","2020-04-03","Amapá",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"5","2020-04-03","Tocantins",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"6","2020-04-03","Maranhão",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.5
"7","2020-04-03","Ceará",1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0
"8","2020-04-03","Rio Grande do Norte",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"9","2020-04-03","Paraíba",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"10","2020-04-03","Pernambuco",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"11","2020-04-03","Alagoas",0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0.5
"12","2020-04-03","Sergipe",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
"13","2020-04-03","Bahia",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
"14","2020-04-03","Minas Gerais",0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0
"15","2020-04-03","Espírito Santo",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
"16","2020-04-03","Rio de Janeiro",0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"17","2020-04-03","São Paulo",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"18","2020-04-03","Paraná",1,1,1,1,1,0,0.5,1,1,0,1,0,0,0,1,1,0.5
"19","2020-04-03","Santa Catarina",0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0.5
"20","2020-04-03","Rio Grande do Sul",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"21","2020-04-03","MatoGrosso do Sul",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"22","2020-04-03","MatoGrosso",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"23","2020-04-03","Goiás",0,1,1,1,1,1,0.5,1,1,1,1,0,1,1,1,1,0.5
"24","2020-04-03","Distrito Federal",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"25","2020-04-04","Amazonas",0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0.5
"26","2020-04-04","Roraima",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"27","2020-04-04","Pará",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"28","2020-04-04","Amapá",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"29","2020-04-04","Tocantins",0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"30","2020-04-04","Maranhão",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.5
"31","2020-04-04","Ceará",1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0
"32","2020-04-04","Rio Grande do Norte",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"33","2020-04-04","Paraíba",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"34","2020-04-04","Pernambuco",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"35","2020-04-04","Alagoas",0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0.5
"36","2020-04-04","Sergipe",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
"37","2020-04-04","Bahia",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
"38","2020-04-04","Minas Gerais",0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0
"39","2020-04-04","Espírito Santo",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
"40","2020-04-04","Rio de Janeiro",0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"41","2020-04-04","São Paulo",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"42","2020-04-04","Paraná",1,1,1,1,1,0,0.5,1,1,0,1,0,0,0,1,1,0.5
