排名,市镇,当地名称（葡萄牙语）,联邦单位,人口[2],面积[5]（km2）,人口密度（人/km2）
1,圣保罗,São Paulo,圣保罗州,"12,325,232","1,521.11","8,102.79"
2,里约热内卢,Rio de Janeiro,里约热内卢州,"6,747,815","1,200.33","5,621.64"
3,巴西利亚,Brasília,联邦区,"3,055,149","5,760.78",530.34
4,萨尔瓦多,Salvador,巴伊亚州,"2,886,698",693.45,"4,162.79"
5,福塔雷萨,Fortaleza,塞阿拉州,"2,686,612",312.35,"8,601.20"
6,贝洛奥里藏特,Belo Horizonte,米纳斯吉拉斯州,"2,521,564",331.35,"7,609.88"
7,玛瑙斯,Manaus,亚马孙州,"2,219,580","11,401.09",194.68
8,库里奇巴,Curitiba,巴拉那州,"1,948,626",434.89,"4,480.71"
9,累西腓,Recife,伯南布哥州,"1,653,461",218.84,"7,555.47"
10,戈亚尼亚,Goiânia,戈亚斯州,"1,536,097",728.84,"2,107.59"
11,贝伦,Belém,帕拉州,"1,499,641","1,059.47","1,415.47"
12,阿雷格里港,Porto Alegre,南里奥格兰德州,"1,488,252",495.39,"3,004.20"
13,瓜鲁柳斯,Guarulhos,圣保罗州,"1,392,121",318.68,"4,368.47"
14,坎皮纳斯,Campinas,圣保罗州,"1,213,792",794.57,"1,527.61"
15,圣路易斯,São Luís,马拉尼昂州,"1,108,975",582.97,"1,902.27"
16,圣贡萨洛,São Gonçalo,里约热内卢州,"1,091,737",248.16,"4,399.33"
17,马塞约,Maceió,阿拉戈斯州,"1,025,360",509.32,"2,013.19"
18,卡希亚斯公爵城,Duque de Caxias,里约热内卢州,"924,624",467.32,"1,978.57"
19,格兰德营,Campo Grande,南马托格罗索州,"906,092","8,082.98",112.10
20,纳塔尔,Natal,北里约格朗德州,"890,480",167.40,"5,319.44"
21,特雷西纳,Teresina,皮奥伊州,"868,075","1,391.05",624.04
22,圣贝尔纳多-杜坎普,São Bernardo do Campo,圣保罗州,"844,483",409.53,"2,062.07"
23,新伊瓜苏,Nova Iguaçu,里约热内卢州,"823,302",520.58,"1,581.51"
24,若昂佩索阿,João Pessoa,帕拉伊巴州,"817,511",210.04,"3,892.09"
25,圣若泽-杜斯坎普斯,São José dos Campos,圣保罗州,"729,737","1,099.41",663.75
26,圣安德烈,Santo André,圣保罗州,"721,368",175.78,"4,103.76"
27,里贝朗普雷图,Ribeirão Preto,圣保罗州,"711,825",650.92,"1,093.57"
28,热博阿陶,Jaboatão dos Guararapes,伯南布哥州,"706,867",258.72,"2,732.13"
29,奥萨斯库,Osasco,圣保罗州,"699,944",64.95,"10,776.00"
30,乌贝兰迪亚,Uberlândia,米纳斯吉拉斯州,"699,097","4,115.21",169.88
31,索罗卡巴,Sorocaba,圣保罗州,"687,357",450.38,"1,526.16"
32,孔塔任,Contagem,米纳斯吉拉斯州,"668,949",194.75,"3,434.98"
