Código do Município,Sigla da Unidade da Federação,Municípios e classes de tamanho da população dos municípios (habitantes),0 a 5 anos,6 a 14 anos,15 a 24 anos,25 a 39 anos,40 a 59 anos,60 anos ou mais
4200051,SC,Abdon Batista,7.8,13.9,16.0,19.7,28.4,14.2
1700251,TO,Abreulândia,12.1,19.5,14.7,23.2,20.9,9.6
3100401,MG,Acaiaca,8.0,15.4,16.7,22.2,22.6,15.2
4300034,RS,Aceguá,7.6,16.2,15.3,21.5,25.8,13.5
5200159,GO,Adelândia,7.6,13.3,16.9,22.6,25.8,13.8
3500204,SP,Adolfo,6.9,12.2,15.6,21.1,28.3,15.9
4200309,SC,Agronômica,8.7,14.5,17.7,22.1,25.5,11.6
3100708,MG,Água Comprida,6.3,12.7,17.3,22.3,26.3,15.1
5200209,GO,Água Limpa,6.7,13.4,16.2,21.8,25.7,16.2
2400406,RN,Água Nova,8.6,17.0,20.8,23.3,19.1,11.4
4300059,RS,Água Santa,8.0,13.8,16.9,20.5,27.4,13.5
3100807,MG,Aguanil,7.3,14.1,15.1,21.5,26.9,15.1
3500600,SP,Águas de São Pedro,5.0,11.0,13.0,20.0,26.3,24.9
4200556,SC,Águas Frias,6.7,14.8,17.0,20.2,27.7,13.6
2900603,BA,Aiquara,9.6,15.8,18.8,20.6,21.8,13.4
3101300,MG,Alagoa,7.1,14.2,14.8,18.1,30.6,15.2
3500758,SP,Alambari,8.6,16.7,17.3,23.6,22.2,11.7
3101409,MG,Albertina,7.3,14.5,16.4,24.7,23.8,13.3
5000252,MS,Alcinópolis,8.8,15.1,18.5,25.8,23.6,8.3
4300455,RS,Alegria,5.3,13.1,12.8,16.5,31.5,20.8
3500808,SP,Alfredo Marcondes,5.9,11.4,15.4,20.5,26.5,20.3
2500577,PB,Algodão de Jandaíra,11.5,17.2,19.6,21.2,17.5,13.1
2400604,RN,Almino Afonso,9.1,14.7,18.7,22.6,21.8,13.1
4300471,RS,Almirante Tamandaré do Sul,6.1,11.2,14.2,19.9,31.1,17.5
5200506,GO,Aloândia,6.1,12.6,13.9,22.6,26.4,18.4
3500907,SP,Altair,9.0,14.4,17.9,26.2,21.6,11.0
4100459,PR,Altamira do Paraná,7.9,16.8,17.2,20.2,25.0,13.0
3501103,SP,Alto Alegre,6.3,11.2,15.6,20.9,26.4,19.7
4300554,RS,Alto Alegre,5.7,11.6,14.8,17.8,31.4,18.7
4200754,SC,Alto Bela Vista,6.5,11.9,13.6,17.7,30.7,19.6
4300570,RS,Alto Feliz,5.1,10.8,15.1,21.8,28.7,18.5
5200555,GO,Alto Horizonte,9.5,15.5,19.6,26.4,21.0,8.1
4128625,PR,Alto Paraíso,8.1,15.6,16.4,22.5,24.6,13.0
3102209,MG,Alvarenga,8.2,15.1,16.6,21.3,24.1,14.8
