Código do Município,Sigla da Unidade da Federação,"Municípios e classes de tamanho
da população dos municípios (habitantes)",Urbana,Rural,,,,,,,
4200051,SC,Abdon Batista,27.3,72.7,,,,,,,
1700251,TO,Abreulândia,61.7,38.3,,,,,,,
3100401,MG,Acaiaca,65.1,34.9,,,,,,,
4300034,RS,Aceguá,24.1,75.9,,,,,,,
5200159,GO,Adelândia,89.1,10.9,,,,,,,
3500204,SP,Adolfo,90.0,10.0,,,,,,,
4200309,SC,Agronômica,37.9,62.1,,,,,,,
3100708,MG,Água Comprida,75.1,24.9,,,,,,,
5200209,GO,Água Limpa,70.8,29.2,,,,,,,
2400406,RN,Água Nova,64.0,36.0,,,,,,,
4300059,RS,Água Santa,38.9,61.1,,,,,,,
3100807,MG,Aguanil,57.8,42.2,,,,,,,
3500600,SP,Águas de São Pedro,100.0,-,,,,,,,
4200556,SC,Águas Frias,40.5,59.5,,,,,,,
2900603,BA,Aiquara,58.2,41.8,,,,,,,
3101300,MG,Alagoa,41.0,59.0,,,,,,,
3500758,SP,Alambari,75.2,24.8,,,,,,,
3101409,MG,Albertina,69.1,30.9,,,,,,,
5000252,MS,Alcinópolis,68.6,31.4,,,,,,,
4300455,RS,Alegria,36.9,63.2,,,,,,,
3500808,SP,Alfredo Marcondes,83.7,16.4,,,,,,,
2500577,PB,Algodão de Jandaíra,52.0,48.0,,,,,,,
2400604,RN,Almino Afonso,71.4,28.6,,,,,,,
4300471,RS,Almirante Tamandaré do Sul,40.6,59.4,,,,,,,
5200506,GO,Aloândia,86.3,13.8,,,,,,,
3500907,SP,Altair,79.2,20.8,,,,,,,
4100459,PR,Altamira do Paraná,49.6,50.4,,,,,,,
3501103,SP,Alto Alegre,78.8,21.2,,,,,,,
4300554,RS,Alto Alegre,40.2,59.8,,,,,,,
4200754,SC,Alto Bela Vista,30.2,69.8,,,,,,,
4300570,RS,Alto Feliz,28.0,72.0,,,,,,,
5200555,GO,Alto Horizonte,85.8,14.3,,,,,,,
4128625,PR,Alto Paraíso,55.3,44.7,,,,,,,
3102209,MG,Alvarenga,47.7,52.3,,,,,,,
3501202,SP,Álvares Florence,68.0,32.1,,,,,,,
3501400,SP,Álvaro de Carvalho,63.5,36.5,,,,,,,
3501509,SP,Alvinlândia,89.8,10.2,,,,,,,
3102407,MG,Alvorada de Minas,40.9,59.1,,,,,,,
5200829,GO,Amaralina,32.1,67.9,,,,,,,
5200902,GO,Amorinópolis,60.2,39.8,,,,,,,
2500734,PB,Amparo,50.9,49.1,,,,,,,
2800100,SE,Amparo de São Francisco,80.9,19.1,,,,,,,
4101051,PR,Anahy,73.4,26.7,,,,,,,
3502002,SP,Analândia,79.4,20.6,,,,,,,
4300661,RS,André da Rocha,40.8,59.2,,,,,,,
1701051,TO,Angico,61.0,39.0,,,,,,,
4101150,PR,Ângulo,78.8,21.2,,,,,,,
5201207,GO,Anhanguera,93.6,6.4,,,,,,,
3502408,SP,Anhumas,81.8,18.2,,,,,,,
4201109,SC,Anitápolis,40.9,59.1,,,,,,,
2200806,PI,Antônio Almeida,73.2,26.8,,,,,,,
3103108,MG,Antônio Prado de Minas,60.0,40.0,,,,,,,
5201454,GO,Aparecida do Rio Doce,80.4,19.7,,,,,,,
1701101,TO,Aparecida do Rio Negro,78.6,21.4,,,,,,,
3502606,SP,Aparecida d'Oeste,81.9,18.1,,,,,,,
5201504,GO,Aporé,66.8,33.2,,,,,,,
4201273,SC,Arabutã,31.2,68.8,,,,,,,
3103207,MG,Araçaí,79.5,20.5,,,,,,,
3103306,MG,Aracitaba,79.7,20.3,,,,,,,
5201603,GO,Araçu,88.3,11.7,,,,,,,
5101001,MT,Araguaiana,68.5,31.5,,,,,,,
5101209,MT,Araguainha,86.1,13.9,,,,,,,
4300851,RS,Arambaré,78.9,21.1,,,,,,,
3103603,MG,Arantina,93.3,6.7,,,,,,,
3503158,SP,Arapeí,75.2,24.8,,,,,,,
3103801,MG,Arapuá,75.2,24.8,,,,,,,
4101655,PR,Arapuã,37.5,62.5,,,,,,,
4300877,RS,Araricá,82.2,17.9,,,,,,,
3503356,SP,Arco-Íris,57.0,43.0,,,,,,,
2501153,PB,Areia de Baraúnas,52.8,47.2,,,,,,,
3503505,SP,Areias,67.1,33.0,,,,,,,
5202353,GO,Arenópolis,58.6,41.4,,,,,,,
3104403,MG,Argirita,75.6,24.4,,,,,,,
3104452,MG,Aricanduva,35.5,64.5,,,,,,,
4101853,PR,Ariranha do Ivaí,36.9,63.2,,,,,,,
2200954,PI,Aroeiras do Itaim,9.8,90.3,,,,,,,
2201002,PI,Arraial,51.9,48.1,,,,,,,
4301073,RS,Arroio do Padre,16.6,83.4,,,,,,,
4201604,SC,Arroio Trinta,68.5,31.6,,,,,,,
4201653,SC,Arvoredo,22.2,77.8,,,,,,,
3503950,SP,Aspásia,69.5,30.5,,,,,,,
2501351,PB,Assunção,80.8,19.2,,,,,,,
4102208,PR,Atalaia,85.5,14.5,,,,,,,
4201802,SC,Atalanta,41.5,58.6,,,,,,,
3104809,MG,Augusto de Lima,59.0,41.1,,,,,,,
4301552,RS,Áurea,41.9,58.1,,,,,,,
5202601,GO,Aurilândia,76.7,23.3,,,,,,,
1702703,TO,Aurora do Tocantins,72.0,28.0,,,,,,,
3504305,SP,Avaí,67.2,32.9,,,,,,,
5202809,GO,Avelinópolis,76.6,23.4,,,,,,,
3504701,SP,Balbinos,32.2,67.8,,,,,,,
5203104,GO,Baliza,29.5,70.5,,,,,,,
3105202,MG,Bandeira,47.7,52.3,,,,,,,
4202081,SC,Bandeirante,32.0,68.0,,,,,,,
1703057,TO,Bandeirantes do Tocantins,54.0,46.0,,,,,,,
1501253,PA,Bannach,37.4,62.6,,,,,,,
3505005,SP,Barão de Antonina,61.4,38.6,,,,,,,
2501534,PB,Baraúna,75.5,24.5,,,,,,,
2401503,RN,Barcelona,44.5,55.5,,,,,,,
4202099,SC,Barra Bonita,14.9,85.1,,,,,,,
2201176,PI,Barra D'Alcântara,52.8,47.3,,,,,,,
4301859,RS,Barra do Guarita,44.4,55.6,,,,,,,
4102703,PR,Barra do Jacaré,67.9,32.1,,,,,,,
1703073,TO,Barra do Ouro,53.0,47.0,,,,,,,
4301875,RS,Barra do Quaraí,70.8,29.2,,,,,,,
4301925,RS,Barra do Rio Azul,20.1,79.9,,,,,,,
4301958,RS,Barra Funda,64.3,35.7,,,,,,,
2201309,PI,Barreiras do Piauí,58.0,42.0,,,,,,,
4102752,PR,Bela Vista da Caroba,26.4,73.6,,,,,,,
2201556,PI,Bela Vista do Piauí,32.9,67.1,,,,,,,
2700805,AL,Belém,41.1,58.9,,,,,,,
2201572,PI,Belém do Piauí,48.8,51.2,,,,,,,
3106101,MG,Belmiro Braga,32.3,67.7,,,,,,,
4202156,SC,Belmonte,48.3,51.7,,,,,,,
4302055,RS,Benjamin Constant do Sul,14.8,85.2,,,,,,,
3506201,SP,Bento de Abreu,91.4,8.6,,,,,,,
3106655,MG,Berizal,56.9,43.1,,,,,,,
2502052,PB,Bernardino Batista,27.9,72.1,,,,,,,
1703206,TO,Bernardo Sayão,49.1,50.9,,,,,,,
3106606,MG,Bertópolis,60.7,39.3,,,,,,,
3106804,MG,Bias Fortes,39.5,60.5,,,,,,,
3107000,MG,Biquinhas,62.3,37.7,,,,,,,
4103008,PR,Boa Esperança,57.8,42.2,,,,,,,
4103024,PR,Boa Esperança do Iguaçu,34.5,65.5,,,,,,,
4302154,RS,Boa Vista das Missões,41.9,58.1,,,,,,,
4302220,RS,Boa Vista do Cadeado,19.3,80.7,,,,,,,
4302238,RS,Boa Vista do Incra,29.9,70.1,,,,,,,
4302253,RS,Boa Vista do Sul,14.1,85.9,,,,,,,
2201804,PI,Bocaina,40.0,60.0,,,,,,,
4202438,SC,Bocaina do Sul,29.4,70.6,,,,,,,
2401651,RN,Bodó,57.4,42.6,,,,,,,
4202503,SC,Bom Jardim da Serra,54.5,45.5,,,,,,,
2502201,PB,Bom Jesus,41.2,58.8,,,,,,,
4202537,SC,Bom Jesus,59.2,40.8,,,,,,,
3107604,MG,Bom Jesus da Penha,72.7,27.3,,,,,,,
4202578,SC,Bom Jesus do Oeste,30.4,69.7,,,,,,,
4103156,PR,Bom Jesus do Sul,24.6,75.4,,,,,,,
1703305,TO,Bom Jesus do Tocantins,75.0,25.0,,,,,,,
4302378,RS,Bom Progresso,49.2,50.8,,,,,,,
3507159,SP,Bom Sucesso de Itararé,68.1,32.0,,,,,,,
4103222,PR,Bom Sucesso do Sul,48.0,52.0,,,,,,,
5203575,GO,Bonópolis,37.1,62.9,,,,,,,
3507209,SP,Borá,77.9,22.1,,,,,,,
3507308,SP,Boracéia,89.7,10.3,,,,,,,
3507456,SP,Borebi,87.2,12.8,,,,,,,
4202701,SC,Botuverá,29.3,70.7,,,,,,,
4302584,RS,Bozano,28.6,71.4,,,,,,,
4202859,SC,Braço do Trombudo,54.9,45.1,,,,,,,
4302600,RS,Braga,61.6,38.4,,,,,,,
3108701,MG,Brás Pires,47.9,52.1,,,,,,,
4103370,PR,Brasilândia do Sul,67.9,32.1,,,,,,,
1703602,TO,Brasilândia do Tocantins,69.6,30.4,,,,,,,
5203609,GO,Brazabrantes,67.1,32.9,,,,,,,
3507753,SP,Brejo Alegre,82.0,18.0,,,,,,,
2201988,PI,Brejo do Piauí,37.0,63.0,,,,,,,
4302659,RS,Brochier,49.1,50.9,,,,,,,
4202875,SC,Brunópolis,24.7,75.3,,,,,,,
3109253,MG,Bugre,38.4,61.7,,,,,,,
5203939,GO,Buriti de Goiás,67.8,32.2,,,,,,,
5203962,GO,Buritinópolis,56.8,43.2,,,,,,,
