Ano,Código da Grande Região,Nome da Grande Região,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Nome do Município,"Valor adicionado bruto total, 
a preços correntes
(R$ 1.000)","Produto Interno Bruto per capita, 
a preços correntes
(R$ 1,00)"
2010,1,Norte,11,RO,Rondônia,1100015,Alta Floresta D'Oeste," 241,120 "," 10,731.18 "
2010,1,Norte,11,RO,Rondônia,1100023,Ariquemes," 1,199,664 "," 15,103.86 "
2010,1,Norte,11,RO,Rondônia,1100031,Cabixi," 65,401 "," 11,033.62 "
2010,1,Norte,11,RO,Rondônia,1100049,Cacoal," 1,041,212 "," 15,095.15 "
2010,1,Norte,11,RO,Rondônia,1100056,Cerejeiras," 192,454 "," 13,037.06 "
2010,1,Norte,11,RO,Rondônia,1100064,Colorado do Oeste," 176,264 "," 10,380.21 "
2010,1,Norte,11,RO,Rondônia,1100072,Corumbiara," 108,756 "," 13,038.89 "
2010,1,Norte,11,RO,Rondônia,1100080,Costa Marques," 101,490 "," 7,852.78 "
2010,1,Norte,11,RO,Rondônia,1100098,Espigão D'Oeste," 281,227 "," 10,848.19 "
2010,1,Norte,11,RO,Rondônia,1100106,Guajará-Mirim," 471,668 "," 14,363.13 "
2010,1,Norte,11,RO,Rondônia,1100114,Jaru," 708,850 "," 15,319.96 "
2010,1,Norte,11,RO,Rondônia,1100122,Ji-Paraná," 1,585,193 "," 15,913.94 "
2010,1,Norte,11,RO,Rondônia,1100130,Machadinho D'Oeste," 253,116 "," 8,750.47 "
2010,1,Norte,11,RO,Rondônia,1100148,Nova Brasilândia D'Oeste," 160,647 "," 8,750.38 "
2010,1,Norte,11,RO,Rondônia,1100155,Ouro Preto do Oeste," 429,523 "," 12,585.36 "
2010,1,Norte,11,RO,Rondônia,1100189,Pimenta Bueno," 452,130 "," 16,023.63 "
2010,1,Norte,11,RO,Rondônia,1100205,Porto Velho," 7,787,891 "," 21,319.08 "
2010,1,Norte,11,RO,Rondônia,1100254,Presidente Médici," 215,071 "," 10,555.53 "
2010,1,Norte,11,RO,Rondônia,1100262,Rio Crespo," 39,871 "," 12,645.97 "
2010,1,Norte,11,RO,Rondônia,1100288,Rolim de Moura," 559,256 "," 12,390.44 "
2010,1,Norte,11,RO,Rondônia,1100296,Santa Luzia D'Oeste," 93,204 "," 11,120.68 "
2010,1,Norte,11,RO,Rondônia,1100304,Vilhena," 1,226,825 "," 18,995.20 "
2010,1,Norte,11,RO,Rondônia,1100320,São Miguel do Guaporé," 300,065 "," 14,867.85 "
2010,1,Norte,11,RO,Rondônia,1100338,Nova Mamoré," 204,203 "," 9,685.67 "
2010,1,Norte,11,RO,Rondônia,1100346,Alvorada D'Oeste," 148,500 "," 9,528.51 "
2010,1,Norte,11,RO,Rondônia,1100379,Alto Alegre dos Parecis," 112,516 "," 9,353.97 "
2010,1,Norte,11,RO,Rondônia,1100403,Alto Paraíso," 142,116 "," 8,879.79 "
