99,,Known,Today,Today,,Date,9/1,8/31,8/30,8/29,8/28,8/27,8/26,8/25,8/24,8/23,8/22,8/21,8/20,8/19,8/18,8/17,8/16,8/15,8/14,8/13,8/12,8/11,8/10,8/9,8/8,8/7,8/6,8/5,8/4,8/3,8/2,8/1,7/31,7/30,7/29,7/28,7/27,7/26,7/25,7/24,7/23,7/22,7/21,7/20,7/19,7/18,7/17,7/16,7/15,7/14,7/13,7/12,7/11,7/10,7/9,7/8,7/7,7/6,7/5,7/4,7/3,7/2,7/1,6/30,6/29,6/28,6/27,6/26,6/25,6/24,6/23,6/22,6/21,6/20,6/19,6/18,6/17,6/16,6/15,6/14,6/13,6/12,6/11,6/10,6/9,6/8,6/7,6/6,6/5,6/4,6/3,6/2,6/1,5/31,5/30,5/29,5/28,5/27,5/26,5/25,5/24,5/23,5/22,5/21,5/20,5/19,5/18,5/17,5/16,5/15,5/14,5/13,5/12,5/11,5/10,5/9,5/8,5/7,5/6,5/5,5/4,5/3,5/2,5/1,4/30,4/29,4/28,4/27,4/26,4/25,4/24,4/23,4/22,4/21,4/20,4/19,4/18,4/17,4/16,4/15,4/14,4/13,4/12,4/11,4/10,4/9,4/7,4/6,4/5,4/4,4/3,4/2,4/1,3/29,3/28,3/27,3/23,3/22,3/20,3/18,3/17,3/16,3/15,3/14,3/13,3/12,3/10,3/9,3/7,3/6,3/5,3/1,2/28,2/26,2/24,2/23,2/20
9/1,68992,Diff,Our Data,NHK,,Time,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,15:00,23:00,23:00,15:00,23:00,23:00,23:00,23:00,23:00,23:00,23:00,18:00,23:00,23:00,23:00,22:00,21:00,23:00,21:00,22:00,20:00,18:30,22:30,22:30,19:30,22:30,23:00,23:00,23:00,22:00,10:30,22:30,23:00,11:30,23:00
#NAME?,#NAME?,,#NAME?,630,,SUM,68992,68362,67929,67324,66487,65610,64739,63843,63125,62632,61887,60907,59874,58689,57619,56697,56055,55034,53802,52444,51268,50289,49590,48750,47308,45740,44135,42654,41294,40059,39828,37766,36229,34648,33349,32091,31105,30507,29623,28863,28092,27111,26317,25685,25241,24757,24076,23496,22875,22426,22094,21685,21412,21039,20608,20254,20045,19839,19662,19455,19170,18909,18736,18603,18472,18362,18250,18158,18043,17875,17875,17821,17771,17722,17657,17600,17530,17484,17442,17370,17295,17250,17189,17303,17266,17237,17216,17177,17132,17075,17031,16999,16949,16912,16877,16833,16759,16696,16662,16632,16611,16569,16544,16518,16433,16392,16367,16335,16308,16253,16203,16100,16047,15968,15847,15764,15663,15574,15476,15374,15252,15078,14877,14571,14305,14114,13895,13612,13441,13193,12723,12428,11965,11540,11149,10807,10433,9826,9289,8718,8148,7691,7399,6889,6182,5548,4460,4083,3851,3438,3110,2769,2495,1893,1724,1513,1140,1100,1016,1600,1562,1518,1485,1415,1395,1362,1215,1193,436,1087,1032,233,897,168,830,750,709
#NAME?,#NAME?,-5,#NAME?,24,愛知,Aichi,4569,4545,4503,4467,4422,4371,4332,4282,4239,4196,4146,4077,3987,3905,3848,3791,3748,3665,3593,3505,3396,3310,3243,3142,3013,2836,2678,2538,2391,2271,2146,1986,1805,1612,1452,1285,1175,1099,1019,941,878,781,717,664,643,622,597,578,557,541,536,534,534,532,532,532,530,530,528,528,528,528,528,528,527,526,526,526,526,526,526,526,526,526,525,524,524,521,520,519,519,518,516,516,514,514,514,513,513,512,512,512,511,511,511,510,510,510,510,510,510,510,509,509,509,509,509,509,509,507,506,504,503,502,501,501,498,498,498,498,495,492,490,490,487,486,482,477,477,476,462,461,449,430,414,409,399,380,372,358,346,336,327,315,315,301,260,239,228,211,202,189,183,167,164,160,145,143,139,128,125,123,121,114,114,111,86,86,69,62,57,32,27,25,17,15,9
#NAME?,#NAME?,0,#NAME?,0,秋田,Akita,49,49,49,49,48,48,48,46,45,45,45,45,45,44,44,43,42,40,38,37,36,35,35,35,34,32,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,13,11,11,11,11,11,10,9,7,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0
#NAME?,#NAME?,3,#NAME?,0,青森,Aomori,35,35,35,35,35,35,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,17,14,12,11,11,11,11,9,8,7,7,6,2,,,,,,,,,,,,,0,,0,0,0,0,0,0
#NAME?,#NAME?,11,#NAME?,18,千葉,Chiba,3054,3036,3019,2980,2947,2908,2863,2820,2787,2760,2724,2681,2628,2564,2518,2481,2449,2401,2341,2290,2244,2210,2191,2150,2104,2051,1986,1910,1860,1813,1770,1719,1646,1611,1562,1513,1490,1466,1444,1423,1397,1364,1324,1309,1291,1267,1235,1215,1183,1154,1129,1112,1081,1068,1056,1034,1025,1014,1005,998,983,974,963,957,950,946,943,938,934,926,926,923,921,921,919,919,917,916,916,916,916,915,912,909,907,904,904,901,901,904,904,903,902,902,901,900,900,899,898,898,898,898,898,898,895,894,894,892,892,884,882,882,880,877,874,873,870,867,860,858,857,852,847,841,835,826,822,814,807,799,773,770,746,725,704,682,664,630,595,537,502,486,467,423,387,354,291,278,260,235,210,190,185,158,125,63,47,44,41,33,31,31,31,31,29,27,23,22,21,17,15,14,13,13,10,9,5
#NAME?,#NAME?,0,#NAME?,0,愛媛,Ehime,114,114,114,114,114,114,114,114,114,114,113,112,111,111,110,110,110,110,109,108,107,107,107,102,101,100,100,100,100,99,95,92,89,89,89,89,87,85,84,84,83,83,83,83,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,81,81,80,79,78,75,74,74,73,71,70,70,68,51,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,46,45,44,41,41,40,39,37,30,30,28,26,23,23,21,20,19,12,9,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0
#NAME?,#NAME?,0,#NAME?,4,福井,Fukui,232,228,222,211,206,190,177,171,164,163,161,157,156,155,155,155,155,154,154,154,154,154,154,154,153,153,152,149,145,142,140,139,139,137,135,135,129,129,127,127,127,126,126,126,126,126,126,125,125,124,124,123,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,121,121,120,120,119,119,118,113,112,106,104,103,100,92,92,88,86,82,77,65,59,53,46,42,30,21,13,12,9,1,1,1,1,,,,,,,,,,0,,0,0,0,0,0,0
#NAME?,#NAME?,-4,#NAME?,38,福岡,Fukuoka,4636,4598,4568,4488,4412,4346,4282,4222,4169,4118,4055,3987,3900,3830,3728,3683,3633,3559,3484,3359,3215,3138,3084,3012,2904,2754,2614,2479,2356,2269,2192,2047,1926,1756,1635,1535,1481,1432,1310,1292,1240,1174,1113,1060,1004,996,957,953,937,928,924,922,917,908,902,898,885,878,877,868,862,858,854,846,846,845,845,844,844,841,841,838,838,838,838,833,830,827,826,825,822,821,812,810,808,805,802,799,797,792,786,780,774,758,746,729,703,682,674,672,666,662,658,658,658,658,658,658,657,657,657,656,655,654,654,653,651,651,650,649,648,647,647,644,641,639,625,621,612,601,581,575,563,542,521,519,503,479,462,436,406,373,362,332,289,250,199,176,162,146,118,100,78,26,22,16,6,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
#NAME?,#NAME?,0,#NAME?,8,福島,Fukushima,167,159,158,157,151,146,139,134,128,125,124,122,120,113,109,105,105,105,102,101,100,98,98,96,96,95,93,91,89,89,89,89,89,87,87,86,86,86,86,86,86,85,84,84,84,84,84,84,84,84,83,83,83,83,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80,79,78,78,75,74,73,72,70,69,69,68,65,65,65,64,64,62,60,52,49,40,39,38,38,37,36,33,24,16,16,14,9,8,6,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,,0,0,0,0,0,0
