"","combine","coefficient","se","t","number"
"1","0",0,0,0,1
"2","win7_school_close",-0.0679709196305164,0.227442195033554,-0.298849207028136,1
"3","win7_childcare_close",-0.12488298289208,0.0619445662176709,-2.01604419107959,1
"4","win7_school_close+win7_childcare_close",-0.192853902522597,0.216880037275265,-0.889219242791932,2
"5","win7_shop_close",0.113269996970826,0.0559907278508675,2.02301347595487,1
"6","win7_school_close+win7_shop_close",0.0452990773403101,0.232151128738489,0.195127534319844,2
"7","win7_childcare_close+win7_shop_close",-0.0116129859212539,0.0864685160767156,-0.134303055587895,2
"8","win7_school_close+win7_childcare_close+win7_shop_close",-0.0795839055517703,0.222948107066953,-0.356961566522163,3
"9","win7_restaurant_close",0.0726892292726749,0.0908017617032582,0.800526640774048,1
"10","win7_school_close+win7_restaurant_close",0.00471830964215848,0.249187834594126,0.0189347511681042,2
"11","win7_childcare_close+win7_restaurant_close",-0.0521937536194055,0.11442823612136,-0.45612652426146,2
"12","win7_school_close+win7_childcare_close+win7_restaurant_close",-0.120164673249922,0.241688451122687,-0.497188312853737,3
"13","win7_shop_close+win7_restaurant_close",0.185959226243501,0.0996643006754941,1.86585592818217,2
"14","win7_school_close+win7_shop_close+win7_restaurant_close",0.117988306612985,0.25062286946333,0.470780287791129,3
"15","win7_childcare_close+win7_shop_close+win7_restaurant_close",0.061076243351421,0.123638778325854,0.493989379209592,3
"16","win7_school_close+win7_childcare_close+win7_shop_close+win7_restaurant_close",-0.00689467627909546,0.244203330398566,-0.0282333425504174,4
"17","win7_bar_close",0.214989818802989,0.110388592887225,1.94757278066428,1
"18","win7_school_close+win7_bar_close",0.147018899172473,0.253589568395625,0.579751367939191,2
"19","win7_childcare_close+win7_bar_close",0.0901068359109086,0.121696352583757,0.740423472009095,2
"20","win7_school_close+win7_childcare_close+win7_bar_close",0.0221359162803922,0.241664848901514,0.0915975839308483,3
"21","win7_shop_close+win7_bar_close",0.328259815773815,0.124071668374178,2.64572742573142,2
"22","win7_school_close+win7_shop_close+win7_bar_close",0.260288896143299,0.257963252305853,1.0090154074918,3
"23","win7_childcare_close+win7_shop_close+win7_bar_close",0.203376832881735,0.136098688711775,1.49433352229013,3
"24","win7_school_close+win7_childcare_close+win7_shop_close+win7_bar_close",0.135405913251219,0.247273093803328,0.547596631596787,4
"25","win7_restaurant_close+win7_bar_close",0.287679048075664,0.136411441058186,2.10890703773854,2
