AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1801_Densely inhabited districts population[person],Annotation,A1802_Densely inhabited districts area[km2],Annotation
01100,Hokkaido Sapporo-shi,,"1,952,356",,"1,899,081",,235.50,
01101,Hokkaido Sapporo-shi Chuo-ku,,"237,627",,"235,356",,22.97,
01102,Hokkaido Sapporo-shi Kita-ku,,"285,321",,"275,495",,35.58,
01103,Hokkaido Sapporo-shi Higashi-ku,,"261,912",,"255,507",,32.01,
01104,Hokkaido Sapporo-shi Shiroishi-ku,,"209,584",,"205,645",,23.61,
01105,Hokkaido Sapporo-shi Toyohira-ku,,"218,652",,"217,832",,21.72,
01106,Hokkaido Sapporo-shi Minami-ku,,"141,190",,"122,354",,19.54,
01107,Hokkaido Sapporo-shi Nishi-ku,,"213,578",,"211,996",,25.05,
01108,Hokkaido Sapporo-shi Atsubetsu-ku,,"127,767",,"125,771",,16.67,
01109,Hokkaido Sapporo-shi Teine-ku,,"140,999",,"137,016",,21.61,
01110,Hokkaido Sapporo-shi Kiyota-ku,,"115,726",,"112,109",,16.76,
01202,Hokkaido Hakodate-shi,,"265,979",,"229,488",,42.38,
01203,Hokkaido Otaru-shi,,"121,924",,"104,874",,23.42,
01204,Hokkaido Asahikawa-shi,,"339,605",,"313,661",,78.96,
01205,Hokkaido Muroran-shi,,"88,564",,"69,665",,26.71,
01206,Hokkaido Kushiro-shi,,"174,742",,"156,092",,41.14,
01207,Hokkaido Obihiro-shi,,"169,327",,"151,189",,41.08,
01208,Hokkaido Kitami-shi,,"121,226",,"80,955",,20.17,
01209,Hokkaido Yubari-shi,,"8,843",,-,,-,
01210,Hokkaido Iwamizawa-shi,,"84,499",,"48,561",,13.18,
01211,Hokkaido Abashiri-shi,,"39,077",,"27,267",,8.91,
01212,Hokkaido Rumoi-shi,,"22,221",,"17,257",,5.64,
01213,Hokkaido Tomakomai-shi,,"172,737",,"142,348",,36.43,
01214,Hokkaido Wakkanai-shi,,"36,380",,"29,544",,8.42,
01215,Hokkaido Bibai-shi,,"23,035",,"10,663",,3.27,
01216,Hokkaido Ashibetsu-shi,,"14,676",,"7,136",,2.24,
01217,Hokkaido Ebetsu-shi,,"120,636",,"109,372",,25.18,
01218,Hokkaido Akabira-shi,,"11,105",,-,,-,
01219,Hokkaido Mombetsu-shi,,"23,109",,"15,822",,5.43,
01220,Hokkaido Shibetsu-shi,,"19,914",,"11,647",,3.59,
01221,Hokkaido Nayoro-shi,,"29,048",,"18,879",,5.63,
01222,Hokkaido Mikasa-shi,,"9,076",,-,,-,
01223,Hokkaido Nemuro-shi,,"26,917",,"15,511",,4.96,
01224,Hokkaido Chitose-shi,,"95,648",,"80,072",,33.02,
01225,Hokkaido Takikawa-shi,,"41,192",,"28,972",,10.67,
01226,Hokkaido Sunagawa-shi,,"17,694",,"8,905",,3.91,
01227,Hokkaido Utashinai-shi,,"3,585",,-,,-,
01228,Hokkaido Fukagawa-shi,,"21,909",,"10,508",,3.54,
01229,Hokkaido Furano-shi,,"22,936",,"14,269",,3.74,
01230,Hokkaido Noboribetsu-shi,,"49,625",,"37,774",,9.50,
01231,Hokkaido Eniwa-shi,,"69,702",,"63,166",,13.92,
01233,Hokkaido Date-shi,,"34,995",,"21,943",,4.99,
01234,Hokkaido Kitahiroshima-shi,,"59,064",,"49,510",,9.20,
01235,Hokkaido Ishikari-shi,,"57,436",,"43,040",,7.03,
01236,Hokkaido Hokuto-shi,,"46,390",,"29,668",,6.46,
01303,Hokkaido Tobetsu-cho,,"17,278",,"5,957",,1.68,
01304,Hokkaido Shinshinotsu-mura,,"3,329",,-,,-,
01331,Hokkaido Matsumae-cho,,"7,337",,-,,-,
01332,Hokkaido Fukushima-cho,,"4,422",,-,,-,
01333,Hokkaido Shiriuchi-cho,,"4,653",,-,,-,
01334,Hokkaido Kikonai-cho,,"4,547",,-,,-,
01337,Hokkaido Nanae-cho,,"28,120",,"13,132",,2.86,
01343,Hokkaido Shikabe-cho,,"4,226",,-,,-,
01345,Hokkaido Mori-machi,,"15,946",,-,,-,
01346,Hokkaido Yakumo-cho,,"17,252",,"7,500",,2.44,
01347,Hokkaido Oshamambe-cho,,"5,926",,-,,-,
01361,Hokkaido Esashi-cho,,"8,248",,-,,-,
01362,Hokkaido Kaminokuni-cho,,"4,876",,-,,-,
01363,Hokkaido Assabu-cho,,"4,049",,-,,-,
01364,Hokkaido Otobe-cho,,"3,906",,-,,-,
01367,Hokkaido Okushiri-cho,,"2,690",,-,,-,
01370,Hokkaido Imakane-cho,,"5,628",,-,,-,
01371,Hokkaido Setana-cho,,"8,473",,-,,-,
01391,Hokkaido Shimamaki-mura,,"1,499",,-,,-,
01392,Hokkaido Suttsu-cho,,"3,137",,-,,-,
01393,Hokkaido Kuromatsunai-cho,,"3,082",,-,,-,
01394,Hokkaido Rankoshi-cho,,"4,843",,-,,-,
01395,Hokkaido Niseko-cho,,"4,958",,-,,-,
01396,Hokkaido Makkari-mura,,"2,103",,-,,-,
01397,Hokkaido Rusutsu-mura,,"1,907",,-,,-,
01398,Hokkaido Kimobetsu-cho,,"2,294",,-,,-,
01399,Hokkaido Kyogoku-cho,,"3,187",,-,,-,
01400,Hokkaido Kutchan-cho,,"15,018",,"10,559",,3.07,
01401,Hokkaido Kyowa-cho,,"6,224",,-,,-,
01402,Hokkaido Iwanai-cho,,"13,042",,"10,272",,3.40,
01403,Hokkaido Tomari-mura,,"1,771",,-,,-,
01404,Hokkaido Kamoenai-mura,,"1,004",,-,,-,
01405,Hokkaido Shakotan-cho,,"2,115",,-,,-,
01406,Hokkaido Furubira-cho,,"3,188",,-,,-,
01407,Hokkaido Niki-cho,,"3,498",,-,,-,
01408,Hokkaido Yoichi-cho,,"19,607",,"8,913",,2.84,
01409,Hokkaido Akaigawa-mura,,"1,121",,-,,-,
01423,Hokkaido Nanporo-cho,,"7,927",,-,,-,
01424,Hokkaido Naie-cho,,"5,674",,-,,-,
01425,Hokkaido Kamisunagawa-cho,,"3,479",,-,,-,
01427,Hokkaido Yuni-cho,,"5,314",,-,,-,
01428,Hokkaido Naganuma-cho,,"11,076",,-,,-,
01429,Hokkaido Kuriyama-cho,,"12,344",,"6,441",,1.67,
01430,Hokkaido Tsukigata-cho,,"4,577",,-,,-,
01431,Hokkaido Urausu-cho,,"1,985",,-,,-,
01432,Hokkaido Shintotsukawa-cho,,"6,831",,-,,-,
01433,Hokkaido Moseushi-cho,,"3,091",,-,,-,
01434,Hokkaido Chippubetsu-cho,,"2,513",,-,,-,
01436,Hokkaido Uryu-cho,,"2,749",,-,,-,
01437,Hokkaido Hokuryu-cho,,"1,981",,-,,-,
01438,Hokkaido Numata-cho,,"3,181",,-,,-,
01452,Hokkaido Takasu-cho,,"7,018",,-,,-,
01453,Hokkaido Higashikagura-cho,,"10,233",,-,,-,
01454,Hokkaido Tohma-cho,,"6,689",,-,,-,
01455,Hokkaido Pippu-cho,,"3,777",,-,,-,
01456,Hokkaido Aibetsu-cho,,"2,976",,-,,-,
01457,Hokkaido Kamikawa-cho,,"4,044",,-,,-,
01458,Hokkaido Higashikawa-cho,,"8,111",,-,,-,
01459,Hokkaido Biei-cho,,"10,292",,-,,-,
01460,Hokkaido Kamifurano-cho,,"10,826",,"6,569",,2.18,
01461,Hokkaido Nakafurano-cho,,"5,069",,-,,-,
01462,Hokkaido Minamifurano-cho,,"2,555",,-,,-,
01463,Hokkaido Shimukappu-mura,,"1,211",,-,,-,
01464,Hokkaido Wassamu-cho,,"3,596",,-,,-,
01465,Hokkaido Kembuchi-cho,,"3,228",,-,,-,
01468,Hokkaido Shimokawa-cho,,"3,547",,-,,-,
01469,Hokkaido Bifuka-cho,,"4,659",,-,,-,
01470,Hokkaido Otoineppu-mura,,832,,-,,-,
01471,Hokkaido Nakagawa-cho,,"1,767",,-,,-,
01472,Hokkaido Horokanai-cho,,"1,525",,-,,-,
01481,Hokkaido Mashike-cho,,"4,497",,-,,-,
01482,Hokkaido Obira-cho,,"3,336",,-,,-,
01483,Hokkaido Tomamae-cho,,"3,265",,-,,-,
01484,Hokkaido Haboro-cho,,"7,327",,-,,-,
01485,Hokkaido Shosambetsu-mura,,"1,217",,-,,-,
01486,Hokkaido Embetsu-cho,,"2,806",,-,,-,
01487,Hokkaido Teshio-cho,,"3,243",,-,,-,
01511,Hokkaido Sarufutsu-mura,,"2,684",,-,,-,
01512,Hokkaido Hamatombetsu-cho,,"3,881",,-,,-,
01513,Hokkaido Nakatombetsu-cho,,"1,757",,-,,-,
01514,Hokkaido Esashi-cho,,"8,437",,-,,-,
01516,Hokkaido Toyotomi-cho,,"4,054",,-,,-,
01517,Hokkaido Rebun-cho,,"2,773",,-,,-,
01518,Hokkaido Rishiri-cho,,"2,303",,-,,-,
01519,Hokkaido Rishirifuji-cho,,"2,787",,-,,-,
01520,Hokkaido Horonobe-cho,,"2,447",,-,,-,
01543,Hokkaido Bihoro-cho,,"20,296",,"13,273",,4.15,
01544,Hokkaido Tsubetsu-cho,,"5,008",,-,,-,
01545,Hokkaido Shari-cho,,"12,231",,"6,207",,3.18,
01546,Hokkaido Kiyosato-cho,,"4,221",,-,,-,
01547,Hokkaido Koshimizu-cho,,"5,085",,-,,-,
01549,Hokkaido Kunneppu-cho,,"5,100",,-,,-,
01550,Hokkaido Oketo-cho,,"3,092",,-,,-,
01552,Hokkaido Saroma-cho,,"5,362",,-,,-,
01555,Hokkaido Engaru-cho,,"20,873",,"10,851",,3.74,
01559,Hokkaido Yubetsu-cho,,"9,231",,-,,-,
01560,Hokkaido Takinoue-cho,,"2,721",,-,,-,
01561,Hokkaido Okoppe-cho,,"3,909",,-,,-,
01562,Hokkaido Nishiokoppe-mura,,"1,116",,-,,-,
01563,Hokkaido Omu-cho,,"4,525",,-,,-,
01564,Hokkaido Ozora-cho,,"7,360",,-,,-,
01571,Hokkaido Toyoura-cho,,"4,291",,-,,-,
01575,Hokkaido Sobetsu-cho,,"2,922",,-,,-,
01578,Hokkaido Shiraoi-cho,,"17,740",,"5,484",,1.65,
01581,Hokkaido Atsuma-cho,,"4,838",,-,,-,
01584,Hokkaido Toyako-cho,,"9,299",,-,,-,
01585,Hokkaido Abira-cho,,"8,148",,-,,-,
01586,Hokkaido Mukawa-cho,,"8,596",,-,,-,
01601,Hokkaido Hidaka-cho,,"12,378",,-,,-,
01602,Hokkaido Biratori-cho,,"5,315",,-,,-,
01604,Hokkaido Niikappu-cho,,"5,592",,-,,-,
01607,Hokkaido Urakawa-cho,,"13,075",,-,,-,
01608,Hokkaido Samani-cho,,"4,518",,-,,-,
01609,Hokkaido Erimo-cho,,"4,906",,-,,-,
01610,Hokkaido Shinhidaka-cho,,"23,231",,"11,640",,3.46,
01631,Hokkaido Otofuke-cho,,"44,807",,"36,436",,8.69,
01632,Hokkaido Shihoro-cho,,"6,132",,-,,-,
01633,Hokkaido Kamishihoro-cho,,"4,765",,-,,-,
01634,Hokkaido Shikaoi-cho,,"5,542",,-,,-,
01635,Hokkaido Shintoku-cho,,"6,288",,-,,-,
01636,Hokkaido Shimizu-cho,,"9,599",,-,,-,
01637,Hokkaido Memuro-cho,,"18,484",,"12,054",,3.96,
01638,Hokkaido Nakasatsunai-mura,,"3,966",,-,,-,
01639,Hokkaido Sarabetsu-mura,,"3,185",,-,,-,
01641,Hokkaido Taiki-cho,,"5,738",,-,,-,
01642,Hokkaido Hiroo-cho,,"7,030",,-,,-,
01643,Hokkaido Makubetsu-cho,,"26,760",,"14,568",,3.04,
01644,Hokkaido Ikeda-cho,,"6,882",,-,,-,
01645,Hokkaido Toyokoro-cho,,"3,182",,-,,-,
01646,Hokkaido Hombetsu-cho,,"7,358",,-,,-,
01647,Hokkaido Ashoro-cho,,"6,990",,-,,-,
01648,Hokkaido Rikubetsu-cho,,"2,482",,-,,-,
