A1101_総人口【人】,A1201_0～4歳人口【人】,A1202_5～9歳人口【人】,A1203_10～14歳人口【人】,A1204_15～19歳人口【人】,A1205_20～24歳人口【人】,A1206_25～29歳人口【人】,A1207_30～34歳人口【人】,A1208_35～39歳人口【人】,A1209_40～44歳人口【人】,A1210_45～49歳人口【人】,A1211_50～54歳人口【人】,A1212_55～59歳人口【人】,A1213_60～64歳人口【人】,A1214_65～69歳人口【人】,A1215_70～74歳人口【人】,A1216_75～79歳人口【人】,A1304_15歳未満人口割合【％】,A1305_15～64歳人口割合【％】,A1306_65歳以上人口割合【％】,
00000_全国,"126,167,000","4,758,000","5,101,000","5,351,000","5,820,000","6,388,000","6,240,000","6,752,000","7,551,000","8,718,000","9,802,000","8,567,000","7,711,000","7,523,000","8,709,000","8,686,000","7,241,000",12.1,59.5,28.4
01000_北海道,"5,250,000","170,000","191,000","204,000","225,000","234,000","229,000","257,000","296,000","352,000","387,000","347,000","340,000","345,000","425,000","395,000","318,000",10.8,57.4,31.9
02000_青森県,"1,246,000","40,000","44,000","49,000","56,000","48,000","47,000","56,000","67,000","79,000","86,000","83,000","86,000","92,000","106,000","95,000","77,000",10.7,56.1,33.3
03000_岩手県,"1,227,000","40,000","46,000","51,000","55,000","47,000","48,000","56,000","67,000","79,000","83,000","78,000","82,000","89,000","101,000","87,000","75,000",11.1,55.8,33.1
04000_宮城県,"2,306,000","84,000","91,000","97,000","107,000","122,000","119,000","126,000","141,000","159,000","167,000","146,000","144,000","152,000","174,000","149,000","121,000",11.8,59.9,28.3
05000_秋田県,"966,000","27,000","32,000","36,000","39,000","31,000","31,000","40,000","49,000","59,000","62,000","59,000","67,000","76,000","89,000","77,000","64,000",9.8,53,37.2
06000_山形県,"1,078,000","36,000","41,000","46,000","50,000","41,000","41,000","51,000","60,000","68,000","70,000","65,000","71,000","78,000","91,000","77,000","63,000",11.4,55.1,33.4
07000_福島県,"1,846,000","65,000","69,000","77,000","87,000","74,000","76,000","91,000","102,000","118,000","125,000","117,000","125,000","137,000","155,000","127,000","106,000",11.4,57.1,31.5
08000_茨城県,"2,860,000","103,000","114,000","125,000","137,000","134,000","126,000","146,000","168,000","195,000","220,000","189,000","175,000","186,000","220,000","206,000","171,000",11.9,58.6,29.5
09000_栃木県,"1,934,000","71,000","78,000","86,000","92,000","84,000","86,000","103,000","118,000","137,000","149,000","128,000","120,000","129,000","150,000","136,000","106,000",12.1,59.2,28.6
