"","division_eng_name","Prefecture.1","city_pop","city.density","Capital","Capital.1","Area..15.","A1101_総人口.人.","yunder19","y20to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","gdp2017","pop2017","gdppc","income","mean_mupop","mean_mupop_dense","sum_mupop","sum_mupop_dense","sum_muarea_dense","AREA.Code","AREA","mupop","mupop_dense","muarea_dense","mu","mean_density","largest_density"
"1","Aichi","愛知県",693562,1981.20003999181,"Nagoya","名古屋市","5,173.07",7552000,0.180217161016949,0.056541313559322,0.114141949152542,0.135195974576271,0.151615466101695,0.111890889830508,0.12354343220339,0.126853813559322,389325,7525000,0.0517375415282392,6134,138576.444444444,120884.645833333,7483128,5802463,931.95,23100,"Aichi-ken Nagoya-shi",2295638,2250106,279.18,"Nagoya-shi",6226.15269059499,8059.69625331327
"2","Akita","秋田県",315814,348.545950181549,"Akita","秋田市","11,637.52",966000,0.13871635610766,0.0320910973084886,0.0734989648033126,0.111801242236025,0.125258799171843,0.148033126293996,0.17184265010352,0.198757763975155,34421.3,996000,0.0345595381526104,5270,40924.76,44704.5,1023119,357636,86.63,5201,"Akita-ken Akita-shi",315814,250569,54.76,"Akita-shi",4128.31582592635,4575.76698319942
"3","Aomori","青森県",259452.5,459.147015882847,"Aomori","青森市","9,645.64",1246000,0.151685393258427,0.0385232744783307,0.0826645264847512,0.117174959871589,0.135634028892456,0.142857142857143,0.16131621187801,0.170144462279294,42924.6,1278000,0.033587323943662,4931,32706.625,61003.4,1308265,610034,159.91,2201,"Aomori-ken Aomori-shi",287648,224677,40.28,"Aomori-shi",3814.85835782628,5577.87984111221
"4","Chiba","千葉県",541432.333333333,3387.05688547836,"Chiba","千葉市","5,157.57",6259000,0.163923949512702,0.0517654577408532,0.103690685413005,0.131650423390318,0.15369867390957,0.116791819779517,0.139319380092667,0.139159610161368,203908,6246000,0.0326461735510727,5951,115234.555555556,149095.64516129,6222666,4621965,643.17,12100,"Chiba-ken Chiba-shi",971882,884360,121.83,"Chiba-shi",7186.22603666216,7258.96741360913
"5","Ehime","愛媛県",514865,1199.11731140974,"Matsuyama","松山市","5,676.19",1339000,0.16504854368932,0.0395817774458551,0.0851381628080657,0.118745332337565,0.13293502613891,0.129200896191187,0.157580283793876,0.17176997759522,49750.8,1364000,0.0364741935483871,4859,69263.1,61119.5,1385262,733434,152.7,38201,"Ehime-ken Matsuyama-shi",514865,429624,68.71,"Matsuyama-shi",4803.10412573674,6252.7143065056
"6","Fukui","福井県",265904,495.710370798456,"Fukui","福井市","4,190.52",768000,0.174479166666667,0.0442708333333333,0.0911458333333333,0.119791666666667,0.134114583333333,0.127604166666667,0.14453125,0.1640625,32108.4,779000,0.041217458279846,6088,46278.8235294118,34599.4,786740,345994,83.29,18201,"Fukui-ken Fukui-shi",265904,177268,36.37,"Fukui-shi",4154.08812582543,4874.01704701677
"7","Fukuoka","福岡県",934839.666666667,2632.60959354173,"Fukuoka","福岡市","4,986.51",5104000,0.178291536050157,0.0538793103448276,0.103252351097179,0.130681818181818,0.135775862068966,0.118926332288401,0.139498432601881,0.139694357366771,190116,5107000,0.0372265517916585,4864,85025.9333333333,105517.971428571,5101556,3693129,566.6,40130,"Fukuoka-ken Fukuoka-shi",1538681,1486479,154.35,"Fukuoka-shi",6518.05330038828,9630.57337220602
"8","Fukushima","福島県",326642.666666667,355.440452095439,"Fukushima","福島市","13,784.14",1846000,0.161430119176598,0.0400866738894908,0.090465872156013,0.119176598049837,0.131094257854821,0.14192849404117,0.152762730227519,0.16305525460455,77901.1,1882000,0.0413927205100956,5382,32441.3389830508,67979.9166666667,1914039,815759,184.37,7204,"Fukushima-ken Iwaki-shi",350237,173057,46.46,"Iwaki-shi",4424.57558171069,3724.86009470512
"9","Gifu","岐阜県",406735,1997.71611001965,"Gifu","岐阜市","10,621.29",1987000,0.175641670860594,0.0478107700050327,0.0905888273779567,0.12128837443382,0.141922496225466,0.122294916960242,0.145948666331152,0.154504277805737,75053,2008000,0.0373769920318725,6027,48378.6428571429,38818.15,2031903,776363,174.76,21201,"Gifu-ken Gifu-shi",406735,286484,54.98,"Gifu-shi",4442.45250629435,5210.6947981084
"10","Gunma","群馬県",283914.75,1045.986571247,"Maebashi","前橋市","6,362.28",1942000,0.168898043254377,0.0478887744593203,0.0937178166838311,0.124098867147271,0.144181256436663,0.122554067971164,0.146755921730175,0.151905252317199,86660.9,1960000,0.0442147448979592,5575,56374.7142857143,60577.2307692308,1973115,787504,199.36,10202,"Gumma-ken Takasaki-shi",370884,197792,45.38,"Takasaki-shi",3950.16051364366,4358.57205817541
