Prefecture,Prefecture,Capital,Capital,Region,Major Island,Population¹,Area²[15],Density³,Distr.,Municipalities,ISO,Areacode
Aichi,愛知県,Nagoya,名古屋市,Chūbu,Honshū,"7,484,094","5,173.07","1,446.9",7,54,JP-23,052
Akita,秋田県,Akita,秋田市,Tōhoku,Honshū,"1,022,839","11,637.52",87.9,6,25,JP-05,018
Aomori,青森県,Aomori,青森市,Tōhoku,Honshū,"1,308,649","9,645.64",135.7,8,40,JP-02,017
Chiba,千葉県,Chiba,千葉市,Kantō,Honshū,"6,224,027","5,157.57","1,206.8",6,54,JP-12,043
Ehime,愛媛県,Matsuyama,松山市,Shikoku,Shikoku,"1,385,840","5,676.19",244.2,7,20,JP-38,089
Fukui,福井県,Fukui,福井市,Chūbu,Honshū,"787,099","4,190.52",187.8,7,17,JP-18,077
Fukuoka,福岡県,Fukuoka,福岡市,Kyūshū,Kyūshū,"5,102,871","4,986.51","1,023.4",12,60,JP-40,092
Fukushima,福島県,Fukushima,福島市,Tōhoku,Honshū,"1,913,606","13,784.14",138.8,13,59,JP-07,024
Gifu,岐阜県,Gifu,岐阜市,Chūbu,Honshū,"2,032,533","10,621.29",191.4,9,42,JP-21,058
Gunma,群馬県,Maebashi,前橋市,Kantō,Honshū,"1,973,476","6,362.28",310.2,7,35,JP-10,027
Hiroshima,広島県,Hiroshima,広島市,Chūgoku,Honshū,"2,844,963","8,479.65",335.5,5,23,JP-34,082
Hokkaido,北海道,Sapporo,札幌市,Hokkaidō,Hokkaidō,"5,383,579","83,424.44",68.6,66,180,JP-01,011–016
Hyōgo,兵庫県,Kōbe,神戸市,Kansai,Honshū,"5,536,989","8,401.02",659.1,8,41,JP-28,073
Ibaraki,茨城県,Mito,水戸市,Kantō,Honshū,"2,917,857","6,097.39",478.6,7,44,JP-08,029
Ishikawa,石川県,Kanazawa,金沢市,Chūbu,Honshū,"1,154,343","4,186.21",275.8,5,19,JP-17,076
Iwate,岩手県,Morioka,盛岡市,Tōhoku,Honshū,"1,279,814","15,275.01",83.8,10,33,JP-03,019
Kagawa,香川県,Takamatsu,高松市,Shikoku,Shikoku,"976,756","1,876.78",520.5,5,17,JP-37,087
Kagoshima,鹿児島県,Kagoshima,鹿児島市,Kyūshū,Kyūshū,"1,648,752","9,187.06",179.4,8,43,JP-46,099
Kanagawa,神奈川県,Yokohama,横浜市,Kantō,Honshū,"9,127,323","2,416.11","3,778.2",6,33,JP-14,045
Kōchi,高知県,Kōchi,高知市,Shikoku,Shikoku,"728,461","7,103.63",102.5,6,34,JP-39,088
Kumamoto,熊本県,Kumamoto,熊本市,Kyūshū,Kyūshū,"1,786,969","7,409.46",241.2,9,45,JP-43,096
Kyoto,京都府,Kyoto,京都市,Kansai,Honshū,"2,610,140","4,612.20",565.9,6,26,JP-26,074
Mie,三重県,Tsu,津市,Kansai,Honshū,"1,815,827","5,774.49",314.5,7,29,JP-24,059
Miyagi,宮城県,Sendai,仙台市,Tōhoku,Honshū,"2,334,215","7,282.29",320.5,10,35,JP-04,022
Miyazaki,宮崎県,Miyazaki,宮崎市,Kyūshū,Kyūshū,"1,104,377","7,735.22",142.8,6,26,JP-45,098
Nagano,長野県,Nagano,長野市,Chūbu,Honshū,"2,099,759","13,561.56",154.8,14,77,JP-20,026
Nagasaki,長崎県,Nagasaki,長崎市,Kyūshū,Kyūshū,"1,377,780","4,130.98",333.4,4,21,JP-42,095
Nara,奈良県,Nara,奈良市,Kansai,Honshū,"1,365,008","3,690.94",369.8,7,39,JP-29,074
Niigata,新潟県,Niigata,新潟市,Chūbu,Honshū,"2,305,098","12,583.96",183.2,9,30,JP-15,025
Ōita,大分県,Ōita,大分市,Kyūshū,Kyūshū,"1,166,729","6,340.76",184,3,18,JP-44,097
Okayama,岡山県,Okayama,岡山市,Chūgoku,Honshū,"1,922,181","7,114.33",270.2,10,27,JP-33,086
Okinawa,沖縄県,Naha,那覇市,Kyūshū,Ryūkyū Islands,"1,434,138","2,282.59",628.7,5,41,JP-47,098
Osaka,大阪府,Ōsaka,大阪市,Kansai,Honshū,"8,838,908","1,905.32","4,639.9",5,43,JP-27,06x
Saga,佐賀県,Saga,佐賀市,Kyūshū,Kyūshū,"833,245","2,440.69",341.4,6,20,JP-41,095
Saitama,埼玉県,Saitama,さいたま市,Kantō,Honshū,"7,261,271","3,797.75","1,912",8,63,JP-11,048
Shiga,滋賀県,Ōtsu,大津市,Kansai,Honshū,"1,413,184","4,017.38",351.8,3,19,JP-25,077
Shimane,島根県,Matsue,松江市,Chūgoku,Honshū,"694,188","6,707.89",103.5,5,19,JP-32,085
Shizuoka,静岡県,Shizuoka,静岡市,Chūbu,Honshū,"3,701,181","7,777.35",475.8,5,35,JP-22,054
Tochigi,栃木県,Utsunomiya,宇都宮市,Kantō,Honshū,"1,974,671","6,408.09",308.2,5,26,JP-09,028
Tokushima,徳島県,Tokushima,徳島市,Shikoku,Shikoku,"756,063","4,146.75",182.3,8,24,JP-36,088
Tokyo,東京都,Tokyo[16],新宿区,Kantō,Honshū,"13,513,734","2,194.03","6,168.1",1,39,JP-13,03x042
Tottori,鳥取県,Tottori,鳥取市,Chūgoku,Honshū,"573,648","3,507.14",163.6,5,19,JP-31,085
Toyama,富山県,Toyama,富山市,Chūbu,Honshū,"1,066,883","4,247.58",251.2,2,15,JP-16,076
Wakayama,和歌山県,Wakayama,和歌山市,Kansai,Honshū,"963,850","4,724.65",204,6,30,JP-30,075
Yamagata,山形県,Yamagata,山形市,Tōhoku,Honshū,"1,122,957","9,323.15",120.4,8,35,JP-06,023
Yamaguchi,山口県,Yamaguchi,山口市,Chūgoku,Honshū,"1,405,007","6,112.54",229.9,4,19,JP-35,083
Yamanashi,山梨県,Kōfu,甲府市,Chūbu,Honshū,"835,165","4,465.27",187,5,27,JP-19,055
