"intervention","effect","se_effect"
"School+Childcare",0.132571136388289,0.06020219706317
"Office",0.129993216149843,0.0546374521243559
"Retail",-0.226440896515127,0.0701467850945855
"Restaurant",0.00266244829318037,0.0737905569719214
"Bar",0.28635377515829,0.0722679307828855
"Entertainment",0.0639951065923922,0.0916139996632378
"Culture",0.104187025231315,0.101990597510415
"Religion",0.159338091652394,0.0832833489842199
"Sports indoor",-0.444278381761958,0.0629028493553022
"Sports outdoor",-0.0860422047997151,0.0460535212443966
