"intervention","effect","se_effect"
"School",-0.0679709196305164,0.413718249761502
"Childcare",-0.12488298289208,0.130589206301103
"Retail",0.113269996970826,0.070662488483911
"Restaurant",0.0726892292726749,0.200868800091585
"Bar",0.214989818802989,0.231103677774269
"Entertainment",-0.752416701002403,0.364287560882034
"Culture",0.0633779016145913,0.232110059297214
"Religion",-0.0891724640469234,0.277571557500105
"Sports indoor",-0.0184458200605971,0.142668792895677
"Sports outdoor",-0.0659449428399196,0.172103716993151
