"","threshold","beta_denlow","se_denlow","beta_denhigh","se_denhigh"
"1",200,0,0,-1.36753025504464,0.354067258914887
"2",300,-1.54034212376107,0.536034297335745,-1.43023377867744,0.378347496142
"3",400,-1.74654527323711,0.516616086933621,-1.35834562726841,0.367673865301654
"4",500,-1.34091965063371,0.383500723487057,-1.1789669504866,0.281367872685225
"5",600,-1.32951432919321,0.376968231170887,-1.21275828880816,0.297730893557103
"6",700,-1.3282466444148,0.376940099677185,-1.20821988666341,0.297347589595029
"7",800,-1.35333904629144,0.36843317944098,-1.17485655797208,0.297685488790218
"8",900,-1.05066743530264,0.385957668929408,-1.160716029052,0.212548645387643
"9",1000,-1.01208981209722,0.380978996846452,-1.12955538895429,0.213733186002059
"10",1100,-1.11377475809493,0.376711866047924,-1.08895767443823,0.200827572198913
"11",1200,-1.10000448195945,0.375147694218982,-1.08578100919027,0.202915720810286
"12",1300,-1.15497630131987,0.367341301269243,-1.1079363173895,0.208766545338197
"13",1400,-1.15501665991858,0.367439803893597,-1.06297136494819,0.190791500308763
"14",1500,-1.15414723776106,0.366203086750332,-1.0661715511952,0.193051481557398
"15",1600,-1.15903376007402,0.362439294037748,-1.07530357478521,0.195001491825967
"16",1700,-1.22924173208797,0.357784925985848,-1.06159998455951,0.195765424122924
