"","threshold","beta_poplow","se_poplow","beta_pophigh","se_pophigh"
"1",130000,-1.09178653605415,0.407200238562232,-0.254893270503615,0.0953725336318369
"2",140000,-0.846031381861531,0.309635240088734,-0.23862600014894,0.0992078771793733
"3",150000,-0.841273705370371,0.283342228026317,-0.230858651894429,0.101386158119951
"4",160000,-0.709830658457462,0.278194666382051,-0.218754635272034,0.103737143474648
"5",170000,-0.743631507808315,0.269621569292389,-0.249009267602014,0.105865792606472
"6",180000,-0.69192203990864,0.264376200194833,-0.26091030644448,0.108382270985104
"7",190000,-0.688570568428609,0.256383158280167,-0.271241215056292,0.104862849545
"8",2e+05,-0.728115670222866,0.25555511410179,-0.262562275414371,0.104688689570428
"9",210000,-0.722163080734463,0.251409263980393,-0.251173966890661,0.109023788776784
"10",220000,-0.692702551185124,0.248086082357302,-0.26818653815858,0.114193409749014
"11",230000,-0.605860036338224,0.160734433190714,-0.227901827982835,0.112212563433875
"12",240000,-0.632330573542671,0.222406138084605,-0.236137369365938,0.093329358489671
"13",250000,-0.54161090977839,0.159746749964148,-0.251754024993097,0.0956577938259659
"14",260000,-0.534597532133129,0.157862427530038,-0.241716704387467,0.100642256384483
"15",270000,-0.529473015335743,0.15422284499076,-0.217450550718463,0.130762773639554
"16",280000,-0.520705491332218,0.150696311683283,-0.250785810158671,0.130578314107432
"17",290000,-0.469263867856921,0.14798674907482,-0.34549145073308,0.126657450272465
"18",3e+05,-0.47129457688527,0.147775267714052,-0.344551024669043,0.126820713344728
"19",310000,-0.465052957231809,0.143906670363381,-0.348860806689226,0.130929943247307
"20",320000,-0.461779510298452,0.143962704775745,-0.362414309612724,0.13031641116882
"21",330000,-0.461359594895593,0.143784844776461,-0.334169427570475,0.132138913143682
