"","Intervention","X1.day","X2.days","X3.days","X4.days","X5.days"
"1","School+Childcare","0.132
(0.114)","0.0363
(0.1)","-0.0202
(0.0971)","-0.0561
(0.0943)","-0.0755
(0.0901)"
"2","Office","-0.0428
(0.0451)","-0.0399
(0.0425)","-0.0352
(0.0407)","-0.0299
(0.0387)","-0.0184
(0.0366)"
"3","Retail","-0.0691
(0.0479)","-0.0619
(0.0448)","-0.0527
(0.0424)","-0.0375
(0.0399)","-0.0181
(0.0372)"
"4","Restaurant","-0.0829
(0.073)","-0.0774
(0.0696)","-0.0837
(0.0679)","-0.0817
(0.0653)","-0.0663
(0.0628)"
"5","Bar","0.0604
(0.0782)","0.0539
(0.0764)","0.0322
(0.0741)","0.0201
(0.0693)","0.0217
(0.0646)"
"6","Entertainment","-0.117
(0.0943)","-0.135
(0.0914)","-0.161
(0.0873)","-0.155
(0.0825)","-0.149
(0.0766)"
"7","Culture","0.00231
(0.0922)","0.0242
(0.0858)","0.0249
(0.0813)","0.0463
(0.0766)","0.0706
(0.0724)"
"8","Religion","0.204
(0.11)","0.239*
(0.108)","0.238*
(0.105)","0.217*
(0.103)","0.204*
(0.102)"
"9","Sports indoor","-0.329***
(0.0749)","-0.355***
(0.0726)","-0.361***
(0.0695)","-0.341***
(0.0662)","-0.306***
(0.0619)"
"10","Sports outdoor","-0.0212
(0.049)","-0.00321
(0.0466)","0.00729
(0.0452)","0.0237
(0.044)","0.0353
(0.0429)"
