"","Intervention","X1.day","X2.days","X3.days","X4.days","X5.days"
"1","School","0.146
(0.599)","-0.0829
(0.568)","-0.239
(0.56)","-0.31
(0.557)","-0.375
(0.558)"
"2","Childcare","-0.204
(0.165)","-0.197
(0.167)","-0.218
(0.159)","-0.196
(0.157)","-0.17
(0.151)"
"3","Retail","0.125
(0.122)","0.103
(0.117)","0.107
(0.107)","0.0881
(0.0954)","0.0672
(0.0862)"
"4","Restaurant","0.215
(0.274)","0.19
(0.246)","0.21
(0.225)","0.222
(0.213)","0.211
(0.198)"
"5","Bar","-0.269
(0.333)","-0.257
(0.315)","-0.225
(0.286)","-0.207
(0.249)","-0.198
(0.225)"
"6","Entertainment","-0.207
(0.156)","-0.162
(0.143)","-0.114
(0.132)","-0.042
(0.124)","0.0116
(0.119)"
"7","Culture","-0.0457
(0.17)","-0.0521
(0.165)","-0.0405
(0.164)","-0.00296
(0.155)","0.0224
(0.149)"
"8","Religion","0.0125
(0.285)","-0.00135
(0.263)","0.0272
(0.261)","0.0734
(0.245)","0.0913
(0.24)"
"9","Sports indoor","-0.00989
(0.216)","-0.0441
(0.216)","-0.0402
(0.216)","-0.0164
(0.208)","-0.00164
(0.199)"
"10","Sports outdoor","-0.0582
(0.227)","-0.082
(0.219)","-0.0784
(0.214)","-0.0556
(0.203)","-0.0452
(0.196)"
