"","Characteristics","Estimate","Estimate","Estimate","Estimate"
"8","Size","-0.118
(0.113)","-0.029**
(0.0111)","-0.0219***
(0.00531)","-0.0506***
(0.0139)"
"7","Density","-0.203
(0.392)","-0.00108
(0.00539)","0.00453
(0.0201)","-0.0184**
(0.00648)"
"10","Proportion of elderly population","-0.102
(2.29)","-0.0325
(0.2)","0.535***
(0.155)","-0.228
(0.387)"
"4","Proportion of black",NA,"-0.105
(0.425)","-0.000726
(0.000542)",NA
"3","Proportion of Asian",NA,"0.162
(0.124)","0.00304*
(0.00148)",NA
"6","Personal income","-0.125
(0.105)",NA,"-0.00686***
(0.000926)","0.105*
(0.0435)"
"5","GDP per capita","0.00494
(0.00855)","-0.00123*
(0.000592)","0.002**
(0.000635)","-0.000228
(0.000374)"
"1","(Intercept)","0.781
(1.68)","-0.158**
(0.0514)","0.101**
(0.0386)","0.217***
(0.0463)"
"9","Observations","44","234","307","319"
"11","R-squared","0.294","0.0622","0.345","0.125"
"2","Adjusted R-squared","0.198","0.0373","0.329","0.111"
