"date","geography","geography code","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: Gypsy / Traveller / Irish Traveller; measures: Value","Ethnic Group: Mixed / Multiple ethnic group; measures: Value","Ethnic Group: Asian / Asian British: Indian; measures: Value","Ethnic Group: Asian / Asian British: Pakistani; measures: Value","Ethnic Group: Asian / Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian / Asian British: Chinese; measures: Value","Ethnic Group: Asian / Asian British: Other Asian; measures: Value","Ethnic Group: Black / African / Caribbean / Black British; measures: Value","Ethnic Group: Other Ethnic Group; measures: Value"
"2011","Darlington","E06000005",105564,101245,350,1146,726,145,523,349,462,357,261
"2011","County Durham","E06000047",513242,503302,467,3094,1368,463,241,1598,1186,701,822
"2011","Hartlepool","E06000001",92028,89859,40,550,266,291,214,229,304,170,105
"2011","Middlesbrough","E06000002",138412,121970,85,2362,1477,6811,244,904,1332,1731,1496
"2011","Northumberland","E06000057",316028,310910,156,1692,939,351,295,452,621,338,274
"2011","Redcar and Cleveland","E06000003",135177,133118,85,853,91,295,94,155,234,122,130
"2011","Stockton-on-Tees","E06000004",191610,181156,143,1997,1488,3072,132,866,1074,1133,549
"2011","Gateshead","E08000037",200214,192655,87,1558,916,617,242,1054,909,1081,1095
"2011","Newcastle upon Tyne","E08000021",280177,239370,163,4279,5072,6364,4692,6037,4942,5160,4098
"2011","North Tyneside","E08000022",200801,193996,29,1815,1095,319,686,869,846,734,412
"2011","South Tyneside","E08000023",148127,142090,9,1325,643,434,1534,235,465,420,972
"2011","Sunderland","E08000024",275506,264212,70,1778,1736,669,2075,1536,1320,1273,837
"2011","Blackburn with Darwen","E06000008",147489,101848,161,1823,19791,17801,1525,721,1656,933,1230
"2011","Blackpool","E06000009",142065,137102,237,1753,627,223,231,514,687,346,345
"2011","Cheshire East","E06000049",370127,357627,313,3873,2147,856,504,1125,1428,1402,852
"2011","Cheshire West and Chester","E06000050",329608,320812,213,3050,1242,336,576,935,1008,908,528
"2011","Halton","E06000006",125746,123000,41,1356,282,44,60,308,249,260,146
"2011","Warrington","E06000007",202228,193926,66,2144,1803,1179,152,849,928,694,487
"2011","Cumbria","E10000006",499858,491942,315,2504,892,316,486,1153,1219,579,452
"2011","Bolton","E08000001",276786,226431,214,4892,21665,12026,614,1423,3021,4652,1848
"2011","Bury","E08000002",185060,164960,72,3365,1387,9002,311,1100,1607,1893,1363
"2011","Manchester","E08000003",503127,334600,509,23161,11417,42904,6437,13539,11689,43484,15387
"2011","Oldham","E08000004",224897,174264,62,4057,1555,22686,16310,726,1888,2797,552
"2011","Rochdale","E08000005",211699,172688,186,3569,1105,22265,4342,948,2970,2770,856
"2011","Salford","E08000006",233933,210669,193,4616,2553,1843,605,2547,1881,6541,2485
"2011","Stockport","E08000007",283275,260761,58,5104,2786,6673,705,1722,1876,1958,1632
"2011","Tameside","E08000008",219324,199391,38,3159,3668,4910,4296,951,728,1784,399
"2011","Trafford","E08000009",226578,193794,40,6031,6306,7027,457,2232,1951,6540,2200
"2011","Wigan","E08000010",317849,309042,151,2756,1019,676,109,891,824,1678,703
"2011","Lancashire","E10000017",1171339,1079866,821,12724,19212,36103,5811,4811,5117,4098,2776
"2011","Knowsley","E08000011",145893,141852,6,1913,467,81,10,446,399,505,214
"2011","Liverpool","E08000012",466415,414486,185,11756,4915,1999,1075,7978,3436,12308,8277
"2011","Sefton","E08000014",273790,266621,120,2820,666,127,308,965,653,796,714
"2011","St. Helens","E08000013",175308,171808,69,1179,504,133,122,512,493,248,240
"2011","Wirral","E08000015",319783,310079,77,3286,1344,226,851,1653,1042,695,530
"2011","East Riding of Yorkshire","E06000011",334179,327562,227,2301,1081,396,69,660,755,598,530
"2011","Kingston upon Hull, City of","E06000010",256406,241037,284,3454,1086,882,755,2124,1624,2996,2164
"2011","North East Lincolnshire","E06000012",159616,155395,26,1186,513,195,268,605,548,411,469
"2011","North Lincolnshire","E06000013",167446,160658,90,1244,1122,862,1443,530,592,494,411
"2011","York","E06000014",198051,186462,269,2413,1531,417,370,2449,1973,1194,973
"2011","North Yorkshire","E10000023",598376,581887,588,5043,1631,894,275,1733,2823,2424,1078
"2011","Barnsley","E08000016",231221,226122,163,1630,442,211,60,440,508,1221,424
"2011","Doncaster","E08000017",302402,287479,587,3321,1865,2728,117,1121,1783,2337,1064
"2011","Rotherham","E08000018",257280,240632,126,2551,961,7609,109,592,1280,2112,1308
"2011","Sheffield","E08000019",552698,462186,358,13289,5868,21990,3326,7398,5803,20082,12398
"2011","Bradford","E08000032",522452,351884,433,12979,13555,106614,9863,2086,8031,9267,7740
"2011","Calderdale","E08000033",203826,182707,80,2797,1130,13904,574,459,808,899,468
"2011","Kirklees","E08000034",422458,334112,158,9790,20797,41802,731,1452,3000,7905,2711
"2011","Leeds","E08000035",751485,638800,687,19632,16130,22492,4432,5933,9256,25893,8230
"2011","Wakefield","E08000036",325837,310655,302,2928,1540,4896,32,853,1177,2512,942
"2011","Derby","E06000015",248752,199456,295,7232,10907,14620,658,1292,3618,7320,3354
"2011","Leicester","E06000016",329839,166219,417,11580,93335,8067,3642,4245,13181,20585,8568
"2011","Nottingham","E06000018",305680,218372,326,20265,9901,16771,1049,5988,6330,22185,4493
"2011","Rutland","E06000017",37369,36243,58,389,113,38,7,125,82,251,63
"2011","Derbyshire","E10000007",769686,749783,311,7119,4132,979,229,1727,1728,2770,908
"2011","Leicestershire","E10000018",650489,594356,411,8551,28598,2099,2313,3502,4265,3787,2607
"2011","Lincolnshire","E10000019",713653,695867,617,6190,2474,584,496,1737,2025,2561,1102
"2011","Northamptonshire","E10000021",691952,632295,527,14182,12264,2312,4264,2846,3741,16923,2598
"2011","Nottinghamshire","E10000024",785802,750347,456,10716,7204,3470,600,2942,2923,5102,2042
"2011","Herefordshire, County of","E06000019",183477,179806,363,1270,490,80,32,277,560,331,268
"2011","Shropshire","E06000051",306129,299562,312,2168,752,216,208,1020,893,580,418
"2011","Stoke-on-Trent","E06000021",249008,220529,183,4491,2329,10429,1097,1224,3363,3741,1622
"2011","Telford and Wrekin","E06000020",166641,154249,166,2983,3076,2243,162,647,863,1779,473
"2011","Staffordshire","E10000028",848489,811182,433,9604,6452,7023,651,2726,3804,4810,1804
"2011","Warwickshire","E10000031",545474,505194,494,7949,16435,1728,284,2349,4300,4443,2298
"2011","Birmingham","E08000025",1073045,621228,408,47605,64621,144627,32532,12712,31148,96360,21804
"2011","Coventry","E08000026",316960,233878,151,8230,27751,9510,2951,3728,7658,17764,5339
"2011","Dudley","E08000027",312925,281255,352,5758,5737,10339,397,876,1593,4671,1947
"2011","Sandwell","E08000028",308063,215330,141,10199,31400,13952,6588,839,6479,18357,4778
"2011","Solihull","E08000029",206674,184174,70,4404,7098,3413,633,906,1511,3239,1226
"2011","Walsall","E08000030",269323,212182,287,7224,16502,14289,5194,993,4044,6369,2239
"2011","Wolverhampton","E08000031",249470,169473,209,12784,32162,4415,432,1376,6575,17309,4735
"2011","Worcestershire","E10000034",566169,540893,1165,7045,3634,4984,1316,1601,2206,2372,953
"2011","Bedford","E06000055",157479,126731,115,5386,8122,3270,3225,905,2410,6202,1113
"2011","Central Bedfordshire","E06000056",254381,238244,478,4789,2533,442,214,1404,1809,3614,854
"2011","Luton","E06000032",203201,110881,198,8281,10625,29353,13606,1497,5871,19909,2980
"2011","Peterborough","E06000031",183631,150984,560,4948,4636,12078,229,872,3677,4164,1483
"2011","Southend-on-Sea","E06000033",173658,158861,162,3651,1810,1059,933,1084,1554,3647,897
"2011","Thurrock","E06000034",157705,135121,308,3099,2234,534,682,828,1649,12323,927
"2011","Cambridgeshire","E10000003",621210,573479,1508,11081,7430,2373,2562,6723,6550,6010,3494
"2011","Essex","E10000012",1393587,1311695,2161,20885,12456,3462,2747,6361,9834,18709,5277
"2011","Hertfordshire","E10000015",1116062,976346,1149,27497,28848,12302,5608,8462,17361,31401,7088
"2011","Norfolk","E10000020",857888,827096,922,10027,4043,700,933,3208,4133,4609,2217
"2011","Suffolk","E10000029",728163,692591,604,12472,3999,697,2253,2159,4023,6854,2511
"2011","Camden","E09000007",220338,145888,167,12322,6083,1489,12503,6493,8878,18060,8455
"2011","City of London","E09000001",7375,5796,3,289,216,16,232,263,213,193,154
"2011","Hackney","E09000012",246270,134143,474,15869,7599,1905,6180,3436,6747,56858,13059
"2011","Hammersmith and Fulham","E09000013",182493,124005,217,10044,3451,1612,1056,3140,7376,21505,10087
"2011","Haringey","E09000014",254926,153973,370,16548,5945,1920,4417,3744,8124,47830,12055
