"","X","LAD17CD","CTRY11NM","areaName","RGN11NM","Geography","area","pop","density","Name","All.ages","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","gdphead2019","geography","white","asian","black"
"1",1,"E06000002","England","Middlesbrough","North East","Unitary Authority",54,141285,2622,"Middlesbrough",141285,0.234483490816435,0.100371589340694,0.149959302119829,0.11277205648158,0.115369642920338,0.122737728704392,0.0911561736914747,0.0731500159252575,24697,"Middlesbrough",0.881209721700431,0.0777967228275005,0.012506141086033
"2",2,"E06000003","England","Redcar and Cleveland","North East","Unitary Authority",245,137228,560,"Redcar and Cleveland",137228,0.201176144810097,0.0698035386364299,0.119443553793686,0.107091847144898,0.130592881919142,0.143891917101466,0.122249103681464,0.105751012912817,16306,"Redcar and Cleveland",0.984768118836784,0.00642860841711238,0.000902520399180334
"3",3,"E06000004","England","Stockton-on-Tees","North East","Unitary Authority",205,197419,963,"Stockton-on-Tees",197419,0.222982590328185,0.0655306733394455,0.131881936389101,0.125752840405432,0.133234389800374,0.133462331386543,0.103774206130109,0.0833810322208095,28931,"Stockton-on-Tees",0.945441260894525,0.0346119722352696,0.00591305255466834
"4",4,"E06000005","England","Darlington","North East","Unitary Authority",197,107402,544,"Darlington",107402,0.210731643731029,0.0679037634308486,0.121133684661366,0.120798495372526,0.13821902757863,0.135155769911175,0.109960708366697,0.0960969069477291,27583,"Darlington",0.959086430980258,0.0208878026599977,0.00338183471638058
"5",5,"E06000006","England","Halton","North West","Unitary Authority",79,129759,1641,"Halton",129759,0.222296719302707,0.073143288712151,0.127652031843649,0.123975986251435,0.134056211900523,0.133108300772971,0.111730207538591,0.0740372536779722,36257,"Halton",0.978162327231085,0.00749924450877165,0.00206766020390311
"6",6,"E06000007","England","Warrington","North West","Unitary Authority",181,209397,1159,"Warrington",209397,0.210972459013262,0.0683438635701562,0.12265696261169,0.127174696867672,0.146482518851751,0.133096462700039,0.102771290897195,0.0885017454882353,41327,"Warrington",0.958947326779674,0.0242844709931365,0.00343177008129438
"7",7,"E06000008","England","Blackburn with Darwen","North West","Unitary Authority",137,150030,1095,"Blackburn with Darwen",150030,0.257635139638739,0.086376058121709,0.133493301339732,0.132273545290942,0.131067119909351,0.112610811171099,0.0854029194161168,0.0611411051123109,23885,"Blackburn with Darwen",0.690546413630847,0.281336235244662,0.00632589549051116
"8",8,"E06000009","England","Blackpool","North West","Unitary Authority",35,138381,3968,"Blackpool",138381,0.2103612490154,0.0749452598261322,0.122509593079975,0.107890534105116,0.138357144405663,0.14046726067885,0.109653781949834,0.0958151769390306,23099,"Blackpool",0.965065287016507,0.0160630697216063,0.00243550487452926
"9",9,"E06000010","England","Kingston upon Hull, City of","Yorkshire and The Humber","Unitary Authority",72,259126,3620,"Kingston upon Hull, City of",259126,0.222227796515981,0.101830769586996,0.162349590546684,0.122886163488033,0.12152389185184,0.116989418275279,0.0869924283939087,0.065199941341278,27201,"Kingston upon Hull, City of",0.940059904994423,0.0252373189394944,0.0116845939642598
"10",10,"E06000011","England","East Riding of Yorkshire","Yorkshire and The Humber","Unitary Authority",2404,343201,143,"East Riding of Yorkshire",343201,0.184667294092966,0.0583156808983657,0.0936594007593218,0.104259602973185,0.142342242592533,0.152680207808252,0.143924405814668,0.120151165060708,24671,"East Riding of Yorkshire",0.980199234541967,0.00886052085858178,0.00178946013962577
"11",11,"E06000012","England","North East Lincolnshire","Yorkshire and The Humber","Unitary Authority",193,159364,827,"North East Lincolnshire",159364,0.216234532265756,0.0686729750759268,0.127161717828368,0.111549659898095,0.132219321804172,0.135469742225346,0.111229637810296,0.0974624130920409,23815,"North East Lincolnshire",0.973555282678428,0.0133382618283881,0.00257492983159583
"12",12,"E06000013","England","North Lincolnshire","Yorkshire and The Humber","Unitary Authority",847,172748,204,"North Lincolnshire",172748,0.206526269479241,0.0650600875263389,0.118218445365504,0.116134484914442,0.136163660360757,0.142010327181791,0.119011508092713,0.0968752170792136,29580,"North Lincolnshire",0.959461557755933,0.0271669672610872,0.00295020484215807
"13",13,"E06000014","England","York","Yorkshire and The Humber","Unitary Authority",272,211012,776,"York",211012,0.173459329327242,0.150872936136333,0.145081796295945,0.11302200822702,0.119467139309613,0.113870301215097,0.0953689837544784,0.088857505734271,33360,"York",0.941484769074632,0.0340316383153834,0.00602875017041065
"14",14,"E06000015","England","Derby","East Midlands","Unitary Authority",78,256814,3291,"Derby",256814,0.23242891742662,0.0976231825367776,0.141113802207045,0.123825025115453,0.127458004625916,0.112602895480776,0.0846293426370836,0.0803188299703287,32387,"Derby",0.801826718981154,0.12500402006818,0.0294268990802084
"15",15,"E06000016","England","Leicester","East Midlands","Unitary Authority",73,354036,4827,"Leicester",354036,0.237458902484493,0.144507903151092,0.163460777999977,0.126117118033194,0.107367612333209,0.0979307189099414,0.0696850037849258,0.0534719633031669,28410,"Leicester",0.503939800933183,0.371302362667847,0.0624092360212103
