"","areaName","LAD17CD","date","newCasesBySpecimenDate","RGN11NM","CTRY11NM","add","eng"
"1","Aberdeen City","S12000033",2020-08-15,5,"Scotland","Scotland",5,"Aberdeen City"
"2","Aberdeen City","S12000033",2020-08-14,17,"Scotland","Scotland",17,"Aberdeen City"
"3","Aberdeen City","S12000033",2020-08-13,11,"Scotland","Scotland",11,"Aberdeen City"
"4","Aberdeen City","S12000033",2020-08-12,15,"Scotland","Scotland",15,"Aberdeen City"
"5","Aberdeen City","S12000033",2020-08-11,21,"Scotland","Scotland",21,"Aberdeen City"
"6","Aberdeen City","S12000033",2020-08-10,16,"Scotland","Scotland",16,"Aberdeen City"
"7","Aberdeen City","S12000033",2020-08-09,9,"Scotland","Scotland",9,"Aberdeen City"
"8","Aberdeen City","S12000033",2020-08-08,17,"Scotland","Scotland",17,"Aberdeen City"
"9","Aberdeen City","S12000033",2020-08-07,20,"Scotland","Scotland",20,"Aberdeen City"
"10","Aberdeen City","S12000033",2020-08-06,29,"Scotland","Scotland",29,"Aberdeen City"
"11","Aberdeen City","S12000033",2020-08-05,32,"Scotland","Scotland",32,"Aberdeen City"
"12","Aberdeen City","S12000033",2020-08-04,21,"Scotland","Scotland",21,"Aberdeen City"
"13","Aberdeen City","S12000033",2020-08-03,28,"Scotland","Scotland",28,"Aberdeen City"
"14","Aberdeen City","S12000033",2020-08-02,7,"Scotland","Scotland",7,"Aberdeen City"
"15","Aberdeen City","S12000033",2020-08-01,7,"Scotland","Scotland",7,"Aberdeen City"
"16","Aberdeen City","S12000033",2020-07-31,7,"Scotland","Scotland",7,"Aberdeen City"
"17","Aberdeen City","S12000033",2020-07-30,3,"Scotland","Scotland",3,"Aberdeen City"
"18","Aberdeen City","S12000033",2020-07-29,0,"Scotland","Scotland",0,"Aberdeen City"
"19","Aberdeen City","S12000033",2020-07-28,2,"Scotland","Scotland",2,"Aberdeen City"
"20","Aberdeen City","S12000033",2020-07-27,0,"Scotland","Scotland",0,"Aberdeen City"
"21","Aberdeen City","S12000033",2020-07-26,0,"Scotland","Scotland",0,"Aberdeen City"
"22","Aberdeen City","S12000033",2020-07-25,0,"Scotland","Scotland",0,"Aberdeen City"
"23","Aberdeen City","S12000033",2020-07-24,0,"Scotland","Scotland",0,"Aberdeen City"
"24","Aberdeen City","S12000033",2020-07-23,1,"Scotland","Scotland",1,"Aberdeen City"
"25","Aberdeen City","S12000033",2020-07-22,0,"Scotland","Scotland",0,"Aberdeen City"
"26","Aberdeen City","S12000033",2020-07-21,0,"Scotland","Scotland",0,"Aberdeen City"
"27","Aberdeen City","S12000033",2020-07-20,0,"Scotland","Scotland",0,"Aberdeen City"
"28","Aberdeen City","S12000033",2020-07-19,0,"Scotland","Scotland",0,"Aberdeen City"
"29","Aberdeen City","S12000033",2020-07-18,0,"Scotland","Scotland",0,"Aberdeen City"
"30","Aberdeen City","S12000033",2020-07-17,0,"Scotland","Scotland",0,"Aberdeen City"
"31","Aberdeen City","S12000033",2020-07-16,2,"Scotland","Scotland",2,"Aberdeen City"
"32","Aberdeen City","S12000033",2020-07-15,2,"Scotland","Scotland",2,"Aberdeen City"
"33","Aberdeen City","S12000033",2020-07-14,0,"Scotland","Scotland",0,"Aberdeen City"
"34","Aberdeen City","S12000033",2020-07-13,0,"Scotland","Scotland",0,"Aberdeen City"
"35","Aberdeen City","S12000033",2020-07-12,0,"Scotland","Scotland",0,"Aberdeen City"
"36","Aberdeen City","S12000033",2020-07-11,1,"Scotland","Scotland",1,"Aberdeen City"
"37","Aberdeen City","S12000033",2020-07-10,1,"Scotland","Scotland",1,"Aberdeen City"
"38","Aberdeen City","S12000033",2020-07-09,0,"Scotland","Scotland",0,"Aberdeen City"
"39","Aberdeen City","S12000033",2020-07-08,1,"Scotland","Scotland",1,"Aberdeen City"
"40","Aberdeen City","S12000033",2020-07-07,0,"Scotland","Scotland",0,"Aberdeen City"
"41","Aberdeen City","S12000033",2020-07-06,0,"Scotland","Scotland",0,"Aberdeen City"
"42","Aberdeen City","S12000033",2020-07-05,0,"Scotland","Scotland",0,"Aberdeen City"
"43","Aberdeen City","S12000033",2020-07-04,0,"Scotland","Scotland",0,"Aberdeen City"
"44","Aberdeen City","S12000033",2020-07-03,0,"Scotland","Scotland",0,"Aberdeen City"
"45","Aberdeen City","S12000033",2020-07-02,0,"Scotland","Scotland",0,"Aberdeen City"
"46","Aberdeen City","S12000033",2020-07-01,0,"Scotland","Scotland",0,"Aberdeen City"
"47","Aberdeen City","S12000033",2020-06-30,1,"Scotland","Scotland",1,"Aberdeen City"
"48","Aberdeen City","S12000033",2020-06-29,2,"Scotland","Scotland",2,"Aberdeen City"
"49","Aberdeen City","S12000033",2020-06-28,0,"Scotland","Scotland",0,"Aberdeen City"
"50","Aberdeen City","S12000033",2020-06-27,0,"Scotland","Scotland",0,"Aberdeen City"
"51","Aberdeen City","S12000033",2020-06-26,1,"Scotland","Scotland",1,"Aberdeen City"
"52","Aberdeen City","S12000033",2020-06-25,0,"Scotland","Scotland",0,"Aberdeen City"
"53","Aberdeen City","S12000033",2020-06-24,0,"Scotland","Scotland",0,"Aberdeen City"
"54","Aberdeen City","S12000033",2020-06-23,1,"Scotland","Scotland",1,"Aberdeen City"
"55","Aberdeen City","S12000033",2020-06-22,0,"Scotland","Scotland",0,"Aberdeen City"
"56","Aberdeen City","S12000033",2020-06-21,0,"Scotland","Scotland",0,"Aberdeen City"
"57","Aberdeen City","S12000033",2020-06-20,0,"Scotland","Scotland",0,"Aberdeen City"
"58","Aberdeen City","S12000033",2020-06-19,0,"Scotland","Scotland",0,"Aberdeen City"
"59","Aberdeen City","S12000033",2020-06-18,1,"Scotland","Scotland",1,"Aberdeen City"
"60","Aberdeen City","S12000033",2020-06-17,0,"Scotland","Scotland",0,"Aberdeen City"
"61","Aberdeen City","S12000033",2020-06-16,0,"Scotland","Scotland",0,"Aberdeen City"
"62","Aberdeen City","S12000033",2020-06-15,3,"Scotland","Scotland",3,"Aberdeen City"
"63","Aberdeen City","S12000033",2020-06-14,0,"Scotland","Scotland",0,"Aberdeen City"
"64","Aberdeen City","S12000033",2020-06-13,3,"Scotland","Scotland",3,"Aberdeen City"
"65","Aberdeen City","S12000033",2020-06-12,0,"Scotland","Scotland",0,"Aberdeen City"
"66","Aberdeen City","S12000033",2020-06-11,0,"Scotland","Scotland",0,"Aberdeen City"
"67","Aberdeen City","S12000033",2020-06-10,0,"Scotland","Scotland",0,"Aberdeen City"
"68","Aberdeen City","S12000033",2020-06-09,0,"Scotland","Scotland",0,"Aberdeen City"
"69","Aberdeen City","S12000033",2020-06-08,1,"Scotland","Scotland",1,"Aberdeen City"
"70","Aberdeen City","S12000033",2020-06-07,0,"Scotland","Scotland",0,"Aberdeen City"
