"","MSA_STATE","CBSA_code","name_2017match","name_2010match","MSA","state","total_pop","urb_pop","urb_land","urb_landsqmi","state_dom","ratio","urb_den","Median","Under18","y18to24","y25to34","y35to44","y45to54","y55to64","y65to74","y75","total","pincom2019","gdp2017","white","black","native","asian","LND010190D","land","total_den"
"1","Abilene, TX","10180","Abilene, TX","Abilene, TX","Abilene","TX",172060,110421,141756054,54.73,"TX",0.641758688829478,778.950858776021,34.6,0.236711204705541,0.130213250066565,0.137698787306659,0.1152361242224,0.135247984895796,0.108234696100501,0.0718357417761964,0.0648222109263428,165252,45552,7289,77.4,8.2,0.7,1.8,2757.89,7170.514,23.9954904209098
"2","Akron, OH","10420","Akron, OH","Akron, OH","Akron","OH",703479,569499,842722918,325.38,"OH",0.809546553628467,675.784398211892,39.5,0.223624857792947,0.106015358361775,0.116983788395904,0.126523037542662,0.154945961319681,0.130002844141069,0.0726720705346985,0.0692320819112628,703200,51095,36518,81.3,12.1,0.2,3,927.24,2410.824,291.800230958378
"3","Albany-Lebanon, OR","10540","Albany, OR","Albany-Lebanon, OR","Albany-Lebanon","OR",129749,76741,88307236,34.09,"OR",0.591457352272465,869.022783138632,39.2,0.241471818431157,0.0847761245200219,0.122917238069117,0.121263027975864,0.140110737794844,0.135259530992869,0.0852646736149205,0.0689368486012068,116672,44830,4180,89.6,0.5,1,1.1,2309.3,6004.18,21.6097785209637
"4","Albany-Schenectady-Troy, NY","10580","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy","NY",880381,594962,765942841,295.73,"NY",0.675800590880539,776.770756448652,39.7,0.214188093477092,0.108036374661773,0.121216332305826,0.130073410848084,0.15612783042921,0.129993017240983,0.0713493263015725,0.0690156147354591,870716,60767,54302,82.7,7.8,0.2,4.4,2878.53,7484.178,117.632290413189
"5","Albany, GA","10500","Albany, GA","Albany, GA","Albany","GA",146726,95779,183486824,70.84,"GA",0.652774559382795,521.993884421914,35.2,0.258836168535612,0.113052101609581,0.12581686881786,0.123401225621075,0.138403641264271,0.120578737254304,0.067682508200473,0.0522287486968241,157308,39922,5482,42.1,53.6,0.2,1.4,1608.96,4183.296,35.0742572363992
"6","Albuquerque, NM","10740","Albuquerque, NM","Albuquerque, NM","Albuquerque","NM",918018,741318,648969769,250.57,"NM",0.807520113984693,1142.29974247075,36.4,0.246226652252285,0.0981853886415723,0.137761434463976,0.127737501930498,0.144769845233277,0.122486548518336,0.0685273093542049,0.0543053196058516,887077,43986,44051,74.9,2.7,6,2.3,9297.81,24174.306,37.9749474504046
"7","Alexandria, LA","10780","Alexandria, LA","Alexandria, LA","Alexandria","LA",152037,82804,169751977,65.54,"LA",0.544630583344844,487.794024337048,36.9,0.254447057600603,0.0882070139421265,0.134236821247125,0.12581047543561,0.144183417575135,0.118618521069113,0.0758241187094762,0.0586725744208105,153922,44446,5992,65.7,29.3,0.7,1.1,2026.64,5269.264,28.8535552593303
"8","Allentown-Bethlehem-Easton, PA-NJ","10900","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton","PA-NJ",844052,664651,896890519,346.29,"PA--NJ",0.787452668792918,741.061462820525,40.6,0.227729114327919,0.0892114085582453,0.112026333062582,0.133585736501322,0.158491572421402,0.126556766966279,0.0752655043456129,0.0771335638166379,821173,55675,43821,84,6,0.2,2.9,1477.31,3841.006,219.747639029983
"9","Altoona, PA","11020","Altoona, PA","Altoona, PA","Altoona","PA",121829,79930,96848806,37.39,"PA",0.65608352691067,825.30702546813,42,0.211489586038131,0.0933046919875048,0.111063900101504,0.121875221301608,0.147959304109718,0.1370535608904,0.0867580986552731,0.0904956369158621,127089,48277,5440,95.5,1.7,0.1,0.6,527.17,1370.642,88.8846248692219
"10","Amarillo, TX","11100","Amarillo, TX","Amarillo, TX","Amarillo","TX",265053,196651,210246929,81.18,"TX",0.741930859111197,935.333519187812,34.4,0.263189278096374,0.10272089514609,0.142175675621596,0.124635326415374,0.138754046926337,0.109764247781944,0.0634902213453604,0.0552703086669255,249881,48065,13695,84.1,6,0.6,3.5,5184.08,13478.608,19.6647161190532
"11","Ames, IA","11180","Ames, IA","Ames, IA","Ames","IA",123351,60438,60165324,23.23,"IA",0.489967653282097,1004.53211221799,26.7,0.178162203211901,0.289964485939559,0.142603470996851,0.0931071452502736,0.104252752898081,0.0920126867838556,0.0503674253422975,0.0495298295771817,89542,44952,5245,88.1,1.9,0.3,6.4,1147.27,2982.902,41.3526827230663
"12","Anchorage, AK","11260","Anchorage, AK","Anchorage, AK","Anchorage","AK",396317,279811,262370845,101.3,"AK",0.70602825515938,1066.47139090473,33.3,0.266542548861539,0.10568744895896,0.149747519175676,0.134556655226471,0.15470522896584,0.114689053387287,0.0470929911953385,0.0269785542288897,380821,64350,27963,68,4.4,7.5,7.5,27193.92,70704.192,5.60528292297011
"13","Ann Arbor, MI","11460","Ann Arbor, MI","Ann Arbor, MI","Ann Arbor","MI",367601,306022,413286601,159.57,"MI",0.832484133612259,740.459524358013,33.3,0.20868584156779,0.169105342076794,0.143092482112352,0.127007375482539,0.136859720816379,0.113880582729828,0.0563732812051359,0.0449953740091824,344791,60843,23500,73.6,11.9,0.4,9.1,722.59,1878.734,195.664207918737
"14","Anniston-Oxford, AL","11500","Anniston-Oxford-Jacksonville, AL","Anniston-Oxford, AL","Anniston-Oxford","AL",113605,79796,224731051,86.77,"AL",0.70239866203072,355.073318283907,38.2,0.228772391458354,0.109191040043181,0.124709037546807,0.123359646459535,0.1432547313025,0.127424687109942,0.0795887730661539,0.0636996930135276,118572,38394,3937,73.7,20.8,0.3,0.9,612.35,1592.11,71.3549943157194
"15","Appleton, WI","11540","Appleton, WI","Appleton, WI","Appleton","WI",237974,216154,268776675,103.78,"WI",0.908309311101213,804.21413056025,37.4,0.255519218668297,0.0820150133382964,0.13210231049427,0.139626704953338,0.160405200606206,0.113083051944023,0.0613738888445756,0.0558746111509931,225666,52686,13120,90.8,1.3,1.4,3.2,1041.52,2707.952,87.8796965381956
"16","Asheville, NC","11700","Asheville, NC","Asheville, NC","Asheville","NC",462680,280648,686027223,264.88,"NC",0.60657041583816,409.091637461157,42.6,0.203423261419109,0.0781837696359725,0.120037753790678,0.129311440528365,0.144321161423346,0.141030650240786,0.0979998022868817,0.0856921606748608,424858,47432,20179,90.6,4.6,0.4,1.2,2041.36,5307.536,87.1741614187826
"17","Athens-Clarke County, GA","12020","Athens-Clarke County, GA","Athens-Clarke County, GA","Athens-Clarke County","GA",213750,128754,254841198,98.39,"GA",0.602357894736842,505.232281948384,29.9,0.208552983520393,0.213834975407835,0.143356479918563,0.117304885712653,0.11753860216785,0.098664699985977,0.058091523363855,0.0426558499228736,192541,41495,9947,72,20.6,0.1,3.1,1035.24,2691.624,79.4130235129424
"18","Atlanta-Sandy Springs-Alpharetta, GA","12060","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Marietta, GA","Atlanta-Sandy Springs-Alpharetta","GA",6020364,4515419,6851428985,2645.35,"GA",0.750024251025353,659.047770893593,34.9,0.265019757594622,0.0918669313665575,0.144506591558705,0.157686292670521,0.146743128494589,0.104641231689587,0.0537412267549337,0.0357948398704843,5268860,54557,385542,53.4,34.2,0.4,5.9,8835.87,22973.262,262.059606511256
"19","Atlantic City-Hammonton, NJ","12100","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ","Atlantic City-Hammonton","NJ",263670,261554,347233602,134.07,"NJ",0.991974817006106,753.250833137975,39.9,0.232701630674306,0.0928395295557441,0.113797537051674,0.132238689632816,0.162521080025788,0.124207336395325,0.076809604114384,0.0648845925499638,274549,50631,13122,65.8,14.6,0.4,7.9,671.47,1745.822,151.029142719017
"20","Auburn-Opelika, AL","12220","Auburn-Opelika, AL","Auburn-Opelika, AL","Auburn-Opelika","AL",164542,74741,129261694,49.91,"AL",0.454236608282384,578.214610122625,29.5,0.225252590073228,0.205487461407374,0.137949474855077,0.123075716414611,0.122255734525516,0.0953104166221024,0.0536695972106355,0.0369990088914558,140247,39781,5484,70.3,22.9,0.2,4.3,615.61,1600.586,102.801099097456
"21","Augusta-Richmond County, GA-SC","12260","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC","Augusta-Richmond County","GA-SC",608980,386787,672162059,259.52,"GA--SC",0.635139085027423,575.437120886349,36.7,0.247805170621161,0.100650592500678,0.131878314241745,0.125701007583362,0.146867261531721,0.122664430385884,0.0718758361361665,0.0525573869992835,556877,43638,24395,58.2,35.4,0.3,1.9,3582.08,9313.408,65.387450007559
"22","Austin-Round Rock-Georgetown, TX","12420","Austin-Round Rock, TX","Austin-Round Rock-San Marcos, TX","Austin-Round Rock-Georgetown","TX",2227083,1362416,1354651025,523.03,"TX",0.611749090626618,1005.73208513241,32.6,0.253313981503115,0.116518255375406,0.169290836216977,0.151426129282423,0.132584896832643,0.096031029739164,0.0472367998629601,0.0335980711873117,1716289,61977,148750,76,7.3,0.5,5.9,4281.99,11133.174,200.040258061178
"23","Bakersfield, CA","12540","Bakersfield, CA","Bakersfield-Delano, CA","Bakersfield","CA",900202,523994,358555119,138.44,"CA",0.582084909831349,1461.40432037731,30.7,0.302610313340027,0.111719314794237,0.145356710269154,0.129223432674592,0.129198421687622,0.0920463870438323,0.0518108550065445,0.0380345651839915,839631,41843,37340,74.4,5.5,1,4.7,8162.03,21221.278,42.4197826351457
"24","Baltimore-Columbia-Towson, MD","12580","Baltimore-Columbia-Towson, MD","Baltimore-Towson, MD","Baltimore-Columbia-Towson","MD",2800053,2203663,1857113332,717.04,"MD",0.78700760307037,1186.60663408559,38.1,0.229868484985551,0.0985401527178306,0.133645626305807,0.133743394642074,0.156264423135456,0.121572896993863,0.0675328326364726,0.0588321885829457,2710489,63988,192178,60.1,29.3,0.3,5.5,3104.62,8072.012,346.88414734765
"25","Bangor, ME","12620","Bangor, ME","Bangor, ME","Bangor","ME",152148,61210,110091842,42.51,"ME",0.402305649762074,555.990333961348,39.9,0.197208994107443,0.132027052487283,0.114544285129578,0.1228341443449,0.156955100927087,0.131858136860638,0.0759860449705372,0.0685862411725343,153923,43136,6100,94.5,0.9,1.3,1,3556.42,9246.692,16.4543168519077
"26","Barnstable Town, MA","12700","Barnstable Town, MA","Barnstable Town, MA","Barnstable Town","MA",212990,246695,718092279,277.26,"MA",1.15824686605005,343.542198146932,49.9,0.172538538501445,0.0652977469799155,0.0822463499592381,0.106082783665604,0.159170495812644,0.165094864003557,0.124041169495294,0.125528051582302,215888,77435,11501,91.6,2.9,0.6,1.5,1305.52,3394.352,62.748353735853
"27","Baton Rouge, LA","12940","Baton Rouge, LA","Baton Rouge, LA","Baton Rouge","LA",854884,594309,949993185,366.79,"LA",0.695192564137357,625.592908858604,34.2,0.247141376027435,0.116863389176607,0.146077678807303,0.12770971134627,0.140507474292322,0.114343712771843,0.0618517004700405,0.0455049571081791,802484,49439,54988,59.2,35.3,0.2,1.9,4579.5,11906.7,71.7985671932609
"28","Battle Creek, MI","12980","Battle Creek, MI","Battle Creek, MI","Battle Creek","MI",134159,78393,137324107,53.02,"MI",0.584329042404908,570.861167151082,39.2,0.242452954916046,0.0927460226521528,0.115339415039737,0.124381179028396,0.148046949598225,0.129331746801228,0.0761315058833899,0.071570226080825,136146,40257,6154,81.3,10.5,0.6,2.4,718.49,1868.074,71.8167481587988
"29","Bay City, MI","13020","Bay City, MI","Bay City, MI","Bay City","MI",103126,70585,104448520,40.33,"MI",0.68445396893121,675.787459697849,41.7,0.22224902803166,0.0848929674958941,0.114075215039296,0.121535478004287,0.156155180892819,0.138645832366778,0.0850785461766152,0.0773677519926511,107771,43657,3251,94.7,1.7,0.3,0.6,630.98,1640.548,62.8607026432631
"30","Beaumont-Port Arthur, TX","13140","Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX","Beaumont-Port Arthur","TX",392563,301072,510845663,197.24,"TX",0.766939319293973,589.360000106333,36.9,0.244414719160375,0.0988797283566348,0.13420365535248,0.126000334409446,0.148948539531055,0.116729475620265,0.0687777334756717,0.0620458140940719,388745,45219,25022,69.3,24.4,0.4,2.8,2388.31,6209.606,63.2186647590846
"31","Beckley, WV","13220","Beckley, WV","Beckley, WV","Beckley","WV",115767,64022,157912915,60.97,"WV",0.553024609776534,405.425990648073,41.1,0.207712499524468,0.0798513803116956,0.127848438351995,0.131335675065623,0.142152449308259,0.15054717914252,0.0853675547496164,0.0751848235458223,78859,41128,4478,90.1,6.8,0.3,0.6,1277.78,3322.228,34.8461935785262
"32","Bellingham, WA","13380","Bellingham, WA","Bellingham, WA","Bellingham","WA",229247,114473,124634344,48.12,"WA",0.499343502859361,918.470754738357,36.6,0.209828974843393,0.142378442875609,0.130103410559809,0.119295018395148,0.135870537933777,0.130078552252163,0.0729243313115243,0.0595207318285771,201140,50915,11314,83.3,1,2.9,4.1,2503.64,6509.464,35.2174925615995
"33","Bend, OR","13460","Bend-Redmond, OR","Bend, OR","Bend","OR",197692,83794,102853427,39.71,"OR",0.423861360095502,814.693320816622,40.2,0.229634889338312,0.0744485935092847,0.126340081022995,0.134588196509291,0.14454806540166,0.141511288062739,0.0868746552718835,0.0620542308838353,157733,56447,10150,93.2,0.6,0.6,1.1,3054.96,7942.896,24.8891588156259
"34","Billings, MT","13740","Billings, MT","Billings, MT","Billings","MT",181667,114773,137178563,52.96,"MT",0.631776822427849,836.668627298567,39,0.23426763682379,0.0869345143941791,0.132768111357165,0.11955077507118,0.152464409996836,0.12999050933249,0.0747231888642835,0.0693008541600759,158050,53960,9672,90.9,0.7,4,0.7,6516.08,16941.808,10.7229995759603
"35","Binghamton, NY","13780","Binghamton, NY","Binghamton, NY","Binghamton","NY",238691,158084,192026242,74.14,"NY--PA",0.662295603939822,823.241648399285,40.7,0.208703942794716,0.118315622206773,0.112336875558645,0.113238653292283,0.158061376502135,0.126959976164465,0.0796821928692025,0.0827013606117787,251725,46484,9626,87.6,4.6,0.2,3.6,1238.44,3219.944,74.1289289503171
"36","Birmingham-Hoover, AL","13820","Birmingham-Hoover, AL","Birmingham-Hoover, AL","Birmingham-Hoover","AL",1090435,749495,1372424115,529.9,"AL",0.687335788011207,546.110339951291,37.5,0.239076917894379,0.0905228239603492,0.137639655085293,0.13399353041141,0.146183625327668,0.123032994192618,0.0709411930531263,0.0586092600751564,1128047,53374,64553,64.4,30.2,0.3,1.5,4564.08,11866.608,91.8910441804431
