CBSA_code,MSA,Median,Under18,y18to24,y25to34,y35to44,y45to54,y55to64,y65to74,y75,,,,,,,,,
,United States,37.2,"74,181,467 ","30,672,088 ","41,063,948 ","41,070,606 ","45,006,716 ","36,482,729 ","21,713,429 ","18,554,555 ",,,,,,,,,
,Inside core based statistical area,36.9,"69,718,440 ","29,114,405 ","38,922,158 ","38,740,428 ","42,067,876 ","33,780,230 ","19,865,293 ","17,052,485 ",,,,,,,,,
,In metropolitan statistical area,36.6,"62,524,532 ","26,033,687 ","35,275,691 ","34,978,962 ","37,564,911 ","29,785,420 ","17,264,361 ","14,890,199 ",,,,,,,,,
10180,"Abilene, TX",34.6,"39,117 ","21,518 ","22,755 ","19,043 ","22,350 ","17,886 ","11,871 ","10,712 ",,,,,,,,,
10420,"Akron, OH",39.5,"157,253 ","74,550 ","82,263 ","88,971 ","108,958 ","91,418 ","51,103 ","48,684 ",,,,,,,,,
10500,"Albany, GA",35.2,"40,717 ","17,784 ","19,792 ","19,412 ","21,772 ","18,968 ","10,647 ","8,216 ",,,,,,,,,
10580,"Albany-Schenectady-Troy, NY",39.7,"186,497 ","94,069 ","105,545 ","113,257 ","135,943 ","113,187 ","62,125 ","60,093 ",,,,,,,,,
10740,"Albuquerque, NM",36.4,"218,422 ","87,098 ","122,205 ","113,313 ","128,422 ","108,655 ","60,789 ","48,173 ",,,,,,,,,
10780,"Alexandria, LA",36.9,"39,165 ","13,577 ","20,662 ","19,365 ","22,193 ","18,258 ","11,671 ","9,031 ",,,,,,,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",40.6,"187,005 ","73,258 ","91,993 ","109,697 ","130,149 ","103,925 ","61,806 ","63,340 ",,,,,,,,,
11020,"Altoona, PA",42.0,"26,878 ","11,858 ","14,115 ","15,489 ","18,804 ","17,418 ","11,026 ","11,501 ",,,,,,,,,
11100,"Amarillo, TX",34.4,"65,766 ","25,668 ","35,527 ","31,144 ","34,672 ","27,428 ","15,865 ","13,811 ",,,,,,,,,
11180,"Ames, IA",26.7,"15,953 ","25,964 ","12,769 ","8,337 ","9,335 ","8,239 ","4,510 ","4,435 ",,,,,,,,,
11260,"Anchorage, AK",33.3,"101,505 ","40,248 ","57,027 ","51,242 ","58,915 ","43,676 ","17,934 ","10,274 ",,,,,,,,,
11300,"Anderson, IN",39.2,"30,389 ","11,913 ","16,375 ","17,329 ","18,850 ","16,546 ","10,722 ","9,512 ",,,,,,,,,
11340,"Anderson, SC",39.7,"44,825 ","15,788 ","21,412 ","24,889 ","27,720 ","24,163 ","16,113 ","12,216 ",,,,,,,,,
11460,"Ann Arbor, MI",33.3,"71,953 ","58,306 ","49,337 ","43,791 ","47,188 ","39,265 ","19,437 ","15,514 ",,,,,,,,,
11500,"Anniston-Oxford, AL",38.2,"27,126 ","12,947 ","14,787 ","14,627 ","16,986 ","15,109 ","9,437 ","7,553 ",,,,,,,,,
11540,"Appleton, WI",37.4,"57,662 ","18,508 ","29,811 ","31,509 ","36,198 ","25,519 ","13,850 ","12,609 ",,,,,,,,,
11700,"Asheville, NC",42.6,"86,426 ","33,217 ","50,999 ","54,939 ","61,316 ","59,918 ","41,636 ","36,407 ",,,,,,,,,
12020,"Athens-Clarke County, GA",29.9,"40,155 ","41,172 ","27,602 ","22,586 ","22,631 ","18,997 ","11,185 ","8,213 ",,,,,,,,,
12060,"Atlanta-Sandy Springs-Marietta, GA",34.9,"1,396,352 ","484,034 ","761,385 ","830,827 ","773,169 ","551,340 ","283,155 ","188,598 ",,,,,,,,,
12100,"Atlantic City-Hammonton, NJ",39.9,"63,888 ","25,489 ","31,243 ","36,306 ","44,620 ","34,101 ","21,088 ","17,814 ",,,,,,,,,
12220,"Auburn-Opelika, AL",29.5,"31,591 ","28,819 ","19,347 ","17,261 ","17,146 ","13,367 ","7,527 ","5,189 ",,,,,,,,,
12260,"Augusta-Richmond County, GA-SC",36.7,"137,997 ","56,050 ","73,440 ","70,000 ","81,787 ","68,309 ","40,026 ","29,268 ",,,,,,,,,
12420,"Austin-Round Rock-San Marcos, TX",32.6,"434,760 ","199,979 ","290,552 ","259,891 ","227,554 ","164,817 ","81,072 ","57,664 ",,,,,,,,,
12540,"Bakersfield-Delano, CA",30.7,"254,081 ","93,803 ","122,046 ","108,500 ","108,479 ","77,285 ","43,502 ","31,935 ",,,,,,,,,
12580,"Baltimore-Towson, MD",38.1,"623,056 ","267,092 ","362,245 ","362,510 ","423,553 ","329,522 ","183,047 ","159,464 ",,,,,,,,,
12620,"Bangor, ME",39.9,"30,355 ","20,322 ","17,631 ","18,907 ","24,159 ","20,296 ","11,696 ","10,557 ",,,,,,,,,
12700,"Barnstable Town, MA",49.9,"37,249 ","14,097 ","17,756 ","22,902 ","34,363 ","35,642 ","26,779 ","27,100 ",,,,,,,,,
12940,"Baton Rouge, LA",34.2,"198,327 ","93,781 ","117,225 ","102,485 ","112,755 ","91,759 ","49,635 ","36,517 ",,,,,,,,,
12980,"Battle Creek, MI",39.2,"33,009 ","12,627 ","15,703 ","16,934 ","20,156 ","17,608 ","10,365 ","9,744 ",,,,,,,,,
13020,"Bay City, MI",41.7,"23,952 ","9,149 ","12,294 ","13,098 ","16,829 ","14,942 ","9,169 ","8,338 ",,,,,,,,,
13140,"Beaumont-Port Arthur, TX",36.9,"95,015 ","38,439 ","52,171 ","48,982 ","57,903 ","45,378 ","26,737 ","24,120 ",,,,,,,,,
13380,"Bellingham, WA",36.6,"42,205 ","28,638 ","26,169 ","23,995 ","27,329 ","26,164 ","14,668 ","11,972 ",,,,,,,,,
13460,"Bend, OR",40.2,"36,221 ","11,743 ","19,928 ","21,229 ","22,800 ","22,321 ","13,703 ","9,788 ",,,,,,,,,
13740,"Billings, MT",39.0,"37,026 ","13,740 ","20,984 ","18,895 ","24,097 ","20,545 ","11,810 ","10,953 ",,,,,,,,,
13780,"Binghamton, NY",40.7,"52,536 ","29,783 ","28,278 ","28,505 ","39,788 ","31,959 ","20,058 ","20,818 ",,,,,,,,,
13820,"Birmingham-Hoover, AL",37.5,"269,690 ","102,114 ","155,264 ","151,151 ","164,902 ","138,787 ","80,025 ","66,114 ",,,,,,,,,
13900,"Bismarck, ND",37.8,"24,904 ","10,540 ","15,358 ","13,139 ","16,361 ","13,551 ","7,420 ","7,506 ",,,,,,,,,
13980,"Blacksburg-Christiansburg-Radford, VA",31.1,"27,806 ","40,887 ","19,257 ","18,471 ","18,945 ","17,635 ","11,166 ","8,791 ",,,,,,,,,
14020,"Bloomington, IN",31.0,"35,365 ","44,012 ","25,862 ","20,891 ","23,507 ","20,521 ","12,219 ","10,337 ",,,,,,,,,
14060,"Bloomington-Normal, IL",32.1,"38,412 ","29,378 ","23,471 ","20,945 ","22,608 ","17,418 ","9,015 ","8,325 ",,,,,,,,,
14260,"Boise City-Nampa, ID",34.1,"172,174 ","55,932 ","87,311 ","84,213 ","82,857 ","66,793 ","37,843 ","29,438 ",,,,,,,,,
14460,"Boston-Cambridge-Quincy, MA-NH",38.5,"983,268 ","472,800 ","619,747 ","628,670 ","705,655 ","546,219 ","306,169 ","289,874 ",,,,,,,,,
14500,"Boulder, CO",35.8,"62,754 ","41,830 ","39,379 ","40,989 ","44,607 ","35,487 ","16,731 ","12,790 ",,,,,,,,,
14540,"Bowling Green, KY",33.5,"28,569 ","19,502 ","17,247 ","15,583 ","16,795 ","13,794 ","8,216 ","6,247 ",,,,,,,,,
14740,"Bremerton-Silverdale, WA",39.4,"56,496 ","25,416 ","31,274 ","30,523 ","38,782 ","35,346 ","19,152 ","14,144 ",,,,,,,,,
