MSA,gdp2017
"Abilene, TX","7,289"
"Akron, OH","36,518"
"Albany, GA","5,482"
"Albany, OR","4,180"
"Albany-Schenectady-Troy, NY","54,302"
"Albuquerque, NM","44,051"
"Alexandria, LA","5,992"
"Allentown-Bethlehem-Easton, PA-NJ","43,821"
"Altoona, PA","5,440"
"Amarillo, TX","13,695"
"Ames, IA","5,245"
"Anchorage, AK","27,963"
"Ann Arbor, MI","23,500"
"Anniston-Oxford-Jacksonville, AL","3,937"
"Appleton, WI","13,120"
"Asheville, NC","20,179"
"Athens-Clarke County, GA","9,947"
"Atlanta-Sandy Springs-Roswell, GA","385,542"
"Atlantic City-Hammonton, NJ","13,122"
"Auburn-Opelika, AL","5,484"
"Augusta-Richmond County, GA-SC","24,395"
"Austin-Round Rock, TX","148,750"
"Bakersfield, CA","37,340"
"Baltimore-Columbia-Towson, MD","192,178"
"Bangor, ME","6,100"
"Barnstable Town, MA","11,501"
"Baton Rouge, LA","54,988"
"Battle Creek, MI","6,154"
"Bay City, MI","3,251"
"Beaumont-Port Arthur, TX","25,022"
"Beckley, WV","4,478"
"Bellingham, WA","11,314"
"Bend-Redmond, OR","10,150"
"Billings, MT","9,672"
"Binghamton, NY","9,626"
"Birmingham-Hoover, AL","64,553"
"Bismarck, ND","7,998"
"Blacksburg-Christiansburg-Radford, VA","7,218"
"Bloomington, IL","12,370"
"Bloomington, IN","7,425"
"Bloomsburg-Berwick, PA","4,049"
"Boise City, ID","33,604"
"Boston-Cambridge-Newton, MA-NH","438,684"
"Boulder, CO","25,274"
"Bowling Green, KY","7,267"
"Bremerton-Silverdale, WA","11,474"
"Bridgeport-Stamford-Norwalk, CT","98,256"
"Brownsville-Harlingen, TX","10,197"
"Brunswick, GA","4,045"
"Buffalo-Cheektowaga-Niagara Falls, NY","60,014"
"Burlington, NC","5,441"
"Burlington-South Burlington, VT","14,140"
"California-Lexington Park, MD","6,456"
"Canton-Massillon, OH","16,771"
"Cape Coral-Fort Myers, FL","27,953"
"Cape Girardeau, MO-IL","4,315"
"Carbondale-Marion, IL","5,288"
"Carson City, NV","3,545"
"Casper, WY","6,294"
"Cedar Rapids, IA","18,464"
"Chambersburg-Waynesboro, PA","5,545"
"Champaign-Urbana, IL","12,177"
"Charleston, WV","12,817"
"Charleston-North Charleston, SC","42,004"
"Charlotte-Concord-Gastonia, NC-SC","174,029"
"Charlottesville, VA","13,414"
"Chattanooga, TN-GA","27,071"
"Cheyenne, WY","5,754"
"Chicago-Naperville-Elgin, IL-IN-WI","679,699"
"Chico, CA","8,168"
"Cincinnati, OH-KY-IN","138,034"
"Clarksville, TN-KY","11,027"
"Cleveland, TN","4,343"
"Cleveland-Elyria, OH","138,980"
"Coeur d'Alene, ID","5,931"
"College Station-Bryan, TX","10,197"
"Colorado Springs, CO","32,683"
"Columbia, MO","9,284"
"Columbia, SC","40,884"
"Columbus, GA-AL","13,821"
"Columbus, IN","6,044"
"Columbus, OH","136,296"
"Corpus Christi, TX","21,547"
"Corvallis, OR","4,668"
"Crestview-Fort Walton Beach-Destin, FL","14,404"
"Cumberland, MD-WV","3,286"
"Dallas-Fort Worth-Arlington, TX","535,499"
"Dalton, GA","6,668"
"Danville, IL","2,904"
"Daphne-Fairhope-Foley, AL","7,322"
"Davenport-Moline-Rock Island, IA-IL","20,020"
"Dayton, OH","41,111"
"Decatur, AL","5,466"
