"","MSA","pop2019","state","MSA_STATE"
"1","Abilene",172060,"TX","Abilene, TX"
"2","Akron",703479,"OH","Akron, OH"
"3","Albany",146726,"GA","Albany, GA"
"4","Albany-Lebanon",129749,"OR","Albany-Lebanon, OR"
"5","Albany-Schenectady-Troy",880381,"NY","Albany-Schenectady-Troy, NY"
"6","Albuquerque",918018,"NM","Albuquerque, NM"
"7","Alexandria",152037,"LA","Alexandria, LA"
"8","Allentown-Bethlehem-Easton",844052,"PA-NJ","Allentown-Bethlehem-Easton, PA-NJ"
"9","Altoona",121829,"PA","Altoona, PA"
"10","Amarillo",265053,"TX","Amarillo, TX"
"11","Ames",123351,"IA","Ames, IA"
"12","Anchorage",396317,"AK","Anchorage, AK"
"13","Ann Arbor",367601,"MI","Ann Arbor, MI"
"14","Anniston-Oxford",113605,"AL","Anniston-Oxford, AL"
"15","Appleton",237974,"WI","Appleton, WI"
"16","Asheville",462680,"NC","Asheville, NC"
"17","Athens-Clarke County",213750,"GA","Athens-Clarke County, GA"
"18","Atlanta-Sandy Springs-Alpharetta",6020364,"GA","Atlanta-Sandy Springs-Alpharetta, GA"
"19","Atlantic City-Hammonton",263670,"NJ","Atlantic City-Hammonton, NJ"
"20","Auburn-Opelika",164542,"AL","Auburn-Opelika, AL"
"21","Augusta-Richmond County",608980,"GA-SC","Augusta-Richmond County, GA-SC"
"22","Austin-Round Rock-Georgetown",2227083,"TX","Austin-Round Rock-Georgetown, TX"
"23","Bakersfield",900202,"CA","Bakersfield, CA"
"24","Baltimore-Columbia-Towson",2800053,"MD","Baltimore-Columbia-Towson, MD"
"25","Bangor",152148,"ME","Bangor, ME"
"26","Barnstable Town",212990,"MA","Barnstable Town, MA"
"27","Baton Rouge",854884,"LA","Baton Rouge, LA"
"28","Battle Creek",134159,"MI","Battle Creek, MI"
"29","Bay City",103126,"MI","Bay City, MI"
"30","Beaumont-Port Arthur",392563,"TX","Beaumont-Port Arthur, TX"
"31","Beckley",115767,"WV","Beckley, WV"
"32","Bellingham",229247,"WA","Bellingham, WA"
"33","Bend",197692,"OR","Bend, OR"
"34","Billings",181667,"MT","Billings, MT"
"35","Binghamton",238691,"NY","Binghamton, NY"
"36","Birmingham-Hoover",1090435,"AL","Birmingham-Hoover, AL"
"37","Bismarck",128949,"ND","Bismarck, ND"
"38","Blacksburg-Christiansburg",167531,"VA","Blacksburg-Christiansburg, VA"
"39","Bloomington",171517,"IL","Bloomington, IL"
"40","Bloomington",169230,"IN","Bloomington, IN"
"41","Boise City",749202,"ID","Boise City, ID"
"42","Boston-Cambridge-Newton",4873019,"MA-NH","Boston-Cambridge-Newton, MA-NH"
"43","Boulder",326196,"CO","Boulder, CO"
"44","Bowling Green",179240,"KY","Bowling Green, KY"
"45","Bremerton-Silverdale-Port Orchard",271473,"WA","Bremerton-Silverdale-Port Orchard, WA"
"46","Bridgeport-Stamford-Norwalk",943332,"CT","Bridgeport-Stamford-Norwalk, CT"
"47","Brownsville-Harlingen",423163,"TX","Brownsville-Harlingen, TX"
"48","Brunswick",118779,"GA","Brunswick, GA"
"49","Buffalo-Cheektowaga",1127983,"NY","Buffalo-Cheektowaga, NY"
"50","Burlington",169509,"NC","Burlington, NC"
"51","Burlington-South Burlington",220411,"VT","Burlington-South Burlington, VT"
"52","California-Lexington Park",113510,"MD","California-Lexington Park, MD"
"53","Canton-Massillon",397520,"OH","Canton-Massillon, OH"
"54","Cape Coral-Fort Myers",770577,"FL","Cape Coral-Fort Myers, FL"
"55","Carbondale-Marion",135764,"IL","Carbondale-Marion, IL"
"56","Cedar Rapids",273032,"IA","Cedar Rapids, IA"
"57","Chambersburg-Waynesboro",155027,"PA","Chambersburg-Waynesboro, PA"
"58","Champaign-Urbana",226033,"IL","Champaign-Urbana, IL"
"59","Charleston",257074,"WV","Charleston, WV"
"60","Charleston-North Charleston",802122,"SC","Charleston-North Charleston, SC"
"61","Charlotte-Concord-Gastonia",2636883,"NC-SC","Charlotte-Concord-Gastonia, NC-SC"
"62","Charlottesville",218615,"VA","Charlottesville, VA"
"63","Chattanooga",565194,"TN-GA","Chattanooga, TN-GA"
"64","Chicago-Naperville-Elgin",9458539,"IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI"
"65","Chico",219186,"CA","Chico, CA"
"66","Cincinnati",2221208,"OH-KY-IN","Cincinnati, OH-KY-IN"
"67","Clarksville",307820,"TN-KY","Clarksville, TN-KY"
"68","Cleveland",124942,"TN","Cleveland, TN"
"69","Cleveland-Elyria",2048449,"OH","Cleveland-Elyria, OH"
"70","Coeur d'Alene",165697,"ID","Coeur d'Alene, ID"
"71","College Station-Bryan",264728,"TX","College Station-Bryan, TX"
"72","Colorado Springs",745791,"CO","Colorado Springs, CO"
"73","Columbia",208173,"MO","Columbia, MO"
"74","Columbia",838433,"SC","Columbia, SC"
"75","Columbus",321048,"GA-AL","Columbus, GA-AL"
"76","Columbus",2122271,"OH","Columbus, OH"
"77","Corpus Christi",429024,"TX","Corpus Christi, TX"
"78","Crestview-Fort Walton Beach-Destin",284809,"FL","Crestview-Fort Walton Beach-Destin, FL"
"79","Dallas-Fort Worth-Arlington",7573136,"TX","Dallas-Fort Worth-Arlington, TX"
"80","Dalton",144724,"GA","Dalton, GA"
"81","Daphne-Fairhope-Foley",223234,"AL","Daphne-Fairhope-Foley, AL"
"82","Davenport-Moline-Rock Island",379172,"IA-IL","Davenport-Moline-Rock Island, IA-IL"
"83","Dayton-Kettering",807611,"OH","Dayton-Kettering, OH"
"84","Decatur",152603,"AL","Decatur, AL"
"85","Decatur",104009,"IL","Decatur, IL"
"86","Deltona-Daytona Beach-Ormond Beach",668365,"FL","Deltona-Daytona Beach-Ormond Beach, FL"
"87","Denver-Aurora-Lakewood",2967239,"CO","Denver-Aurora-Lakewood, CO"
"88","Des Moines-West Des Moines",699292,"IA","Des Moines-West Des Moines, IA"
"89","Detroit-Warren-Dearborn",4319629,"MI","Detroit-Warren-Dearborn, MI"
"90","Dothan",149358,"AL","Dothan, AL"
"91","Dover",180786,"DE","Dover, DE"
"92","Duluth",288732,"MN-WI","Duluth, MN-WI"
"93","Durham-Chapel Hill",644367,"NC","Durham-Chapel Hill, NC"
"94","East Stroudsburg",170271,"PA","East Stroudsburg, PA"
"95","Eau Claire",169304,"WI","Eau Claire, WI"
"96","El Centro",181215,"CA","El Centro, CA"
"97","Elizabethtown-Fort Knox",153928,"KY","Elizabethtown-Fort Knox, KY"
"98","Elkhart-Goshen",206341,"IN","Elkhart-Goshen, IN"
"99","El Paso",844124,"TX","El Paso, TX"
"100","Erie",269728,"PA","Erie, PA"
"101","Eugene-Springfield",382067,"OR","Eugene-Springfield, OR"
"102","Evansville",315086,"IN-KY","Evansville, IN-KY"
"103","Fargo",246145,"ND-MN","Fargo, ND-MN"
"104","Farmington",123958,"NM","Farmington, NM"
"105","Fayetteville",526719,"NC","Fayetteville, NC"
"106","Fayetteville-Springdale-Rogers",534904,"AR","Fayetteville-Springdale-Rogers, AR"
"107","Flagstaff",143476,"AZ","Flagstaff, AZ"
"108","Flint",405813,"MI","Flint, MI"
"109","Florence",204911,"SC","Florence, SC"
"110","Florence-Muscle Shoals",147970,"AL","Florence-Muscle Shoals, AL"
"111","Fond du Lac",103403,"WI","Fond du Lac, WI"
"112","Fort Collins",356899,"CO","Fort Collins, CO"
"113","Fort Smith",250368,"AR-OK","Fort Smith, AR-OK"
"114","Fort Wayne",413263,"IN","Fort Wayne, IN"
"115","Fresno",999101,"CA","Fresno, CA"
"116","Gadsden",102268,"AL","Gadsden, AL"
"117","Gainesville",329128,"FL","Gainesville, FL"
"118","Gainesville",204441,"GA","Gainesville, GA"
"119","Gettysburg",103009,"PA","Gettysburg, PA"
"120","Glens Falls",125148,"NY","Glens Falls, NY"
"121","Goldsboro",123131,"NC","Goldsboro, NC"
"122","Grand Forks",100815,"ND-MN","Grand Forks, ND-MN"
"123","Grand Junction",154210,"CO","Grand Junction, CO"
"124","Grand Rapids-Kentwood",1077370,"MI","Grand Rapids-Kentwood, MI"
"125","Greeley",324492,"CO","Greeley, CO"
"126","Green Bay",322906,"WI","Green Bay, WI"
"127","Greensboro-High Point",771851,"NC","Greensboro-High Point, NC"
"128","Greenville",180742,"NC","Greenville, NC"
"129","Greenville-Anderson",920477,"SC","Greenville-Anderson, SC"
"130","Gulfport-Biloxi",417665,"MS","Gulfport-Biloxi, MS"
"131","Hagerstown-Martinsburg",288104,"MD-WV","Hagerstown-Martinsburg, MD-WV"
"132","Hammond",134758,"LA","Hammond, LA"
"133","Hanford-Corcoran",152940,"CA","Hanford-Corcoran, CA"
"134","Harrisburg-Carlisle",577941,"PA","Harrisburg-Carlisle, PA"
"135","Harrisonburg",134964,"VA","Harrisonburg, VA"
"136","Hartford-East Hartford-Middletown",1204877,"CT","Hartford-East Hartford-Middletown, CT"
"137","Hattiesburg",168849,"MS","Hattiesburg, MS"
"138","Hickory-Lenoir-Morganton",369711,"NC","Hickory-Lenoir-Morganton, NC"
"139","Hilton Head Island-Bluffton",222195,"SC","Hilton Head Island-Bluffton, SC"
"140","Homosassa Springs",149657,"FL","Homosassa Springs, FL"
"141","Houma-Thibodaux",208075,"LA","Houma-Thibodaux, LA"
"142","Houston-The Woodlands-Sugar Land",7066141,"TX","Houston-The Woodlands-Sugar Land, TX"
"143","Huntington-Ashland",355873,"WV-KY-OH","Huntington-Ashland, WV-KY-OH"
"144","Huntsville",471824,"AL","Huntsville, AL"
"145","Idaho Falls",151530,"ID","Idaho Falls, ID"
"146","Indianapolis-Carmel-Anderson",2074537,"IN","Indianapolis-Carmel-Anderson, IN"
"147","Iowa City",173105,"IA","Iowa City, IA"
"148","Ithaca",102180,"NY","Ithaca, NY"
"149","Jackson",158510,"MI","Jackson, MI"
"150","Jackson",594806,"MS","Jackson, MS"
"151","Jackson",178644,"TN","Jackson, TN"
"152","Jacksonville",1559514,"FL","Jacksonville, FL"
"153","Jacksonville",197938,"NC","Jacksonville, NC"
"154","Janesville-Beloit",163354,"WI","Janesville-Beloit, WI"
"155","Jefferson City",151235,"MO","Jefferson City, MO"
"156","Johnson City",203649,"TN","Johnson City, TN"
"157","Johnstown",130192,"PA","Johnstown, PA"
"158","Jonesboro",133860,"AR","Jonesboro, AR"
"159","Joplin",179564,"MO","Joplin, MO"
"160","Kahului-Wailuku-Lahaina",167417,"HI","Kahului-Wailuku-Lahaina, HI"
"161","Kalamazoo-Portage",265066,"MI","Kalamazoo-Portage, MI"
"162","Kankakee",109862,"IL","Kankakee, IL"
"163","Kansas City",2157990,"MO-KS","Kansas City, MO-KS"
"164","Kennewick-Richland",299612,"WA","Kennewick-Richland, WA"
"165","Killeen-Temple",460303,"TX","Killeen-Temple, TX"
"166","Kingsport-Bristol",307202,"TN-VA","Kingsport-Bristol, TN-VA"
"167","Kingston",177573,"NY","Kingston, NY"
"168","Knoxville",869046,"TN","Knoxville, TN"
"169","La Crosse-Onalaska",136616,"WI-MN","La Crosse-Onalaska, WI-MN"
"170","Lafayette",489207,"LA","Lafayette, LA"
"171","Lafayette-West Lafayette",233002,"IN","Lafayette-West Lafayette, IN"
"172","Lake Charles",210409,"LA","Lake Charles, LA"
"173","Lake Havasu City-Kingman",212181,"AZ","Lake Havasu City-Kingman, AZ"
"174","Lakeland-Winter Haven",724777,"FL","Lakeland-Winter Haven, FL"
"175","Lancaster",545724,"PA","Lancaster, PA"
"176","Lansing-East Lansing",550391,"MI","Lansing-East Lansing, MI"
"177","Laredo",276652,"TX","Laredo, TX"
"178","Las Cruces",218195,"NM","Las Cruces, NM"
