MSA,pincom2019
"Abilene, TX","45,552"
"Akron, OH","51,095"
"Albany, GA","39,922"
"Albany-Lebanon, OR","44,830"
"Albany-Schenectady-Troy, NY","60,767"
"Albuquerque, NM","43,986"
"Alexandria, LA","44,446"
"Allentown-Bethlehem-Easton, PA-NJ","55,675"
"Altoona, PA","48,277"
"Amarillo, TX","48,065"
"Ames, IA","44,952"
"Anchorage, AK","64,350"
"Ann Arbor, MI","60,843"
"Anniston-Oxford, AL","38,394"
"Appleton, WI","52,686"
"Asheville, NC","47,432"
"Athens-Clarke County, GA","41,495"
"Atlanta-Sandy Springs-Alpharetta, GA","54,557"
"Atlantic City-Hammonton, NJ","50,631"
"Auburn-Opelika, AL","39,781"
"Augusta-Richmond County, GA-SC","43,638"
"Austin-Round Rock-Georgetown, TX","61,977"
"Bakersfield, CA","41,843"
"Baltimore-Columbia-Towson, MD","63,988"
"Bangor, ME","43,136"
"Barnstable Town, MA","77,435"
"Baton Rouge, LA","49,439"
"Battle Creek, MI","40,257"
"Bay City, MI","43,657"
"Beaumont-Port Arthur, TX","45,219"
"Beckley, WV","41,128"
"Bellingham, WA","50,915"
"Bend, OR","56,447"
"Billings, MT","53,960"
"Binghamton, NY","46,484"
"Birmingham-Hoover, AL","53,374"
"Bismarck, ND","58,254"
"Blacksburg-Christiansburg, VA","39,517"
"Bloomington, IL","49,602"
"Bloomington, IN","43,411"
"Bloomsburg-Berwick, PA","47,097"
"Boise City, ID","47,881"
"Boston-Cambridge-Newton, MA-NH","81,498"
"Boulder, CO","76,527"
"Bowling Green, KY","37,114"
"Bremerton-Silverdale-Port Orchard, WA","58,874"
"Bridgeport-Stamford-Norwalk, CT","121,397"
"Brownsville-Harlingen, TX","29,928"
"Brunswick, GA","42,885"
"Buffalo-Cheektowaga, NY","52,331"
"Burlington, NC","41,193"
"Burlington-South Burlington, VT","58,662"
"California-Lexington Park, MD","58,582"
"Canton-Massillon, OH","46,061"
"Cape Coral-Fort Myers, FL","52,064"
"Cape Girardeau, MO-IL","44,571"
"Carbondale-Marion, IL","41,733"
"Carson City, NV","52,470"
"Casper, WY","72,187"
"Cedar Rapids, IA","53,143"
"Chambersburg-Waynesboro, PA","47,934"
"Champaign-Urbana, IL","46,616"
"Charleston, WV","45,276"
"Charleston-North Charleston, SC","53,119"
"Charlotte-Concord-Gastonia, NC-SC","53,916"
"Charlottesville, VA","69,003"
"Chattanooga, TN-GA","47,376"
"Cheyenne, WY","54,113"
"Chicago-Naperville-Elgin, IL-IN-WI","63,500"
"Chico, CA","47,860"
"Cincinnati, OH-KY-IN","56,033"
"Clarksville, TN-KY","41,881"
"Cleveland, TN","39,839"
"Cleveland-Elyria, OH","55,451"
"Coeur d'Alene, ID","46,645"
"College Station-Bryan, TX","41,742"
"Colorado Springs, CO","51,120"
"Columbia, MO","47,482"
"Columbia, SC","46,523"
"Columbus, GA-AL","42,183"
"Columbus, IN","52,546"
"Columbus, OH","52,477"
"Corpus Christi, TX","45,140"
"Corvallis, OR","48,725"
"Crestview-Fort Walton Beach-Destin, FL","54,270"
"Cumberland, MD-WV","41,195"
"Dallas-Fort Worth-Arlington, TX","58,725"
"Dalton, GA","37,444"
"Danville, IL","40,109"
"Daphne-Fairhope-Foley, AL","47,485"
"Davenport-Moline-Rock Island, IA-IL","50,502"
"Dayton-Kettering, OH","49,161"
"Decatur, AL","40,295"
"Decatur, IL","48,764"
"Deltona-Daytona Beach-Ormond Beach, FL","44,762"
"Denver-Aurora-Lakewood, CO","67,236"
"Des Moines-West Des Moines, IA","55,039"
"Detroit-Warren-Dearborn, MI","54,172"
"Dothan, AL","43,143"
"Dover, DE","43,097"
"Dubuque, IA","51,525"
"Duluth, MN-WI","47,654"
"Durham-Chapel Hill, NC","54,423"
"East Stroudsburg, PA","43,823"
"Eau Claire, WI","48,956"
"El Centro, CA","40,447"
"Elizabethtown-Fort Knox, KY","43,076"
"Elkhart-Goshen, IN","46,975"
"Elmira, NY","46,421"
"El Paso, TX","37,633"
"Enid, OK","44,899"
"Erie, PA","46,379"
"Eugene-Springfield, OR","47,340"
"Evansville, IN-KY","48,896"
"Fairbanks, AK","59,958"
"Fargo, ND-MN","54,932"
"Farmington, NM","35,999"
"Fayetteville, NC","38,204"
"Fayetteville-Springdale-Rogers, AR","67,771"
"Flagstaff, AZ","49,189"
"Flint, MI","41,929"
"Florence, SC","42,439"
"Florence-Muscle Shoals, AL","39,102"
"Fond du Lac, WI","49,949"
"Fort Collins, CO","55,884"
"Fort Smith, AR-OK","38,382"
"Fort Wayne, IN","47,516"
"Fresno, CA","45,487"
"Gadsden, AL","38,326"
"Gainesville, FL","44,880"
"Gainesville, GA","45,576"
"Gettysburg, PA","50,182"
"Glens Falls, NY","48,823"
"Goldsboro, NC","39,894"
"Grand Forks, ND-MN","51,950"
"Grand Island, NE","45,487"
"Grand Junction, CO","46,719"
"Grand Rapids-Kentwood, MI","50,330"
"Grants Pass, OR","43,554"
"Great Falls, MT","49,803"
"Greeley, CO","50,198"
"Green Bay, WI","52,981"
"Greensboro-High Point, NC","44,859"
"Greenville, NC","43,325"
"Greenville-Anderson, SC","45,436"
"Gulfport-Biloxi, MS","37,792"
"Hagerstown-Martinsburg, MD-WV","45,281"
"Hammond, LA","38,800"
"Hanford-Corcoran, CA","39,433"
"Harrisburg-Carlisle, PA","53,871"
"Harrisonburg, VA","41,312"
"Hartford-East Hartford-Middletown, CT","65,132"
"Hattiesburg, MS","39,018"
"Hickory-Lenoir-Morganton, NC","40,826"
"Hilton Head Island-Bluffton, SC","55,551"
