State Name ,State Code ,City Code ,City Name ,County Code ,County Name 
,,,,,
ALABAMA ,1,124,ABBEVILLE ,67,HENRY 
,,,,,
ALABAMA ,1,820,ALABASTER ,117,SHELBY 
,,,,,
ALABAMA ,1,988,ALBERTVILLE ,95,MARSHALL 
,,,,,
ALABAMA ,1,1132,ALEXANDER CITY ,123,TALLAPOOSA 
,,,,,
ALABAMA ,1,1228,ALICEVILLE ,107,PICKENS 
,,,,,
ALABAMA ,1,1708,ANDALUSIA ,39,COVINGTON 
,,,,,
ALABAMA ,1,1852,ANNISTON ,15,CALHOUN 
,,,,,
ALABAMA ,1,1924,ANNISTON NORTHWEST ,15,CALHOUN 
,,,,,
ALABAMA ,1,2116,ARAB ,95,MARSHALL 
,,,,,
ALABAMA ,1,2956,ATHENS ,83,LIMESTONE 
,,,,,
ALABAMA ,1,3004,ATMORE ,53,ESCAMBIA 
,,,,,
ALABAMA ,1,3028,ATTALLA ,55,ETOWAH 
,,,,,
ALABAMA ,1,3076,AUBURN ,81,LEE 
,,,,,
ALABAMA ,1,4660,BAY MINETTE ,3,BALDWIN 
,,,,,
ALABAMA ,1,4684,BAYOU LA BATRE ,97,MOBILE 
,,,,,
ALABAMA ,1,5980,BESSEMER ,73,JEFFERSON 
,,,,,
ALABAMA ,1,7000,BIRMINGHAM ,73,JEFFERSON 
,,,,,
ALABAMA ,1,7792,BLUFF PARK ,73,JEFFERSON 
,,,,,
ALABAMA ,1,7912,BOAZ ,55,ETOWAH 
,,,,,
ALABAMA ,1,7912,BOAZ ,95,MARSHALL 
,,,,,
ALABAMA ,1,9136,BRENT ,7,BIBB 
,,,,,
ALABAMA ,1,9208,BREWTON ,53,ESCAMBIA 
,,,,,
ALABAMA ,1,9328,BRIDGEPORT ,71,JACKSON 
,,,,,
ALABAMA ,1,9400,BRIGHTON ,73,JEFFERSON 
,,,,,
ALABAMA ,1,10240,BRUNDIDGE ,109,PIKE 
,,,,,
ALABAMA ,1,13264,CENTER POINT ,73,JEFFERSON 
,,,,,
ALABAMA ,1,13672,CENTREVILLE ,7,BIBB 
,,,,,
ALABAMA ,1,14392,CHICKASAW ,97,MOBILE 
,,,,,
ALABAMA ,1,14464,CHILDERSBURG ,121,TALLADEGA 
,,,,,
ALABAMA ,1,15064,CITRONELLE ,97,MOBILE 
,,,,,
ALABAMA ,1,15136,CLANTON ,21,CHILTON 
,,,,,
ALABAMA ,1,16768,COLUMBIANA ,117,SHELBY 
,,,,,
ALABAMA ,1,17368,CORDOVA ,127,WALKER 
,,,,,
ALABAMA ,1,18976,CULLMAN ,43,CULLMAN 
,,,,,
ALABAMA ,1,19336,DADEVILLE ,123,TALLAPOOSA 
,,,,,
ALABAMA ,1,19360,DALEVILLE ,45,DALE 
,,,,,
ALABAMA ,1,19648,DAPHNE ,3,BALDWIN 
,,,,,
ALABAMA ,1,20104,DECATUR ,103,MORGAN 
,,,,,
ALABAMA ,1,20296,DEMOPOLIS ,91,MARENGO 
,,,,,
ALABAMA ,1,21184,DOTHAN ,45,DALE 
,,,,,
ALABAMA ,1,21184,DOTHAN ,69,HOUSTON 
,,,,,
ALABAMA ,1,22216,EAST BREWTON ,53,ESCAMBIA 
,,,,,
ALABAMA ,1,23296,ELBA ,31,COFFEE 
,,,,,
ALABAMA ,1,24184,ENTERPRISE ,31,COFFEE 
,,,,,
ALABAMA ,1,24184,ENTERPRISE ,45,DALE 
,,,,,
ALABAMA ,1,24568,EUFAULA ,5,BARBOUR 
,,,,,
ALABAMA ,1,24664,EUTAW ,63,GREENE 
,,,,,
ALABAMA ,1,24808,EVERGREEN ,35,CONECUH 
,,,,,
ALABAMA ,1,25072,FAIRFAX ,17,CHAMBERS 
,,,,,
ALABAMA ,1,25120,FAIRFIELD ,73,JEFFERSON 
,,,,,
ALABAMA ,1,25240,FAIRHOPE ,3,BALDWIN 
,,,,,
ALABAMA ,1,25840,FAYETTE ,57,FAYETTE 
,,,,,
ALABAMA ,1,26848,FLORALA ,39,COVINGTON 
,,,,,
ALABAMA ,1,26896,FLORENCE ,77,LAUDERDALE 
,,,,,
State Name ,State Code ,City Code ,City Name ,County Code ,County Name 
,,,,,
ALABAMA ,1,26992,FOLEY ,3,BALDWIN 
,,,,,
ALABAMA ,1,27088,FORESTDALE ,73,JEFFERSON 
,,,,,
ALABAMA ,1,27544,FORT MC CLELLAN ,15,CALHOUN 
,,,,,
ALABAMA ,1,27616,FORT PAYNE ,49,DE KALB 
,,,,,
ALABAMA ,1,27640,FORT RUCKER ,31,COFFEE 
,,,,,
ALABAMA ,1,27640,FORT RUCKER ,45,DALE 
,,,,,
ALABAMA ,1,28552,FULTONDALE ,73,JEFFERSON 
,,,,,
ALABAMA ,1,28696,GADSDEN ,55,ETOWAH 
,,,,,
ALABAMA ,1,29056,GARDENDALE ,73,JEFFERSON 
,,,,,
ALABAMA ,1,29464,GENEVA ,61,GENEVA 
,,,,,
ALABAMA ,1,29992,GLENCOE ,15,CALHOUN 
,,,,,
ALABAMA ,1,29992,GLENCOE ,55,ETOWAH 
,,,,,
ALABAMA ,1,31024,GRAND BAY ,97,MOBILE 
,,,,,
ALABAMA ,1,31384,GRAYSVILLE ,73,JEFFERSON 
,,,,,
ALABAMA ,1,31720,GREENSBORO ,65,HALE 
,,,,,
ALABAMA ,1,31912,GREENVILLE ,13,BUTLER 
,,,,,
ALABAMA ,1,32416,GUNTERSVILLE ,95,MARSHALL 
,,,,,
ALABAMA ,1,32704,HALEYVILLE ,133,WINSTON 
,,,,,
ALABAMA ,1,32848,HAMILTON ,93,MARION 
,,,,,
ALABAMA ,1,33424,HARTFORD ,61,GENEVA 
,,,,,
ALABAMA ,1,33448,HARTSELLE ,103,MORGAN 
,,,,,
ALABAMA ,1,33856,HEADLAND ,67,HENRY 
,,,,,
ALABAMA ,1,33976,HEFLIN ,29,CLEBURNE 
,,,,,
ALABAMA ,1,35392,HOKES BLUFF ,55,ETOWAH 
,,,,,
ALABAMA ,1,35800,HOMEWOOD ,73,JEFFERSON 
,,,,,
