2020rank,City,State[c],2020estimate,2010census,Change,2016 land area,2016 land area,2016 population density,2016 population density,Location
1,New York[d],New York,"8,253,213","8,175,133",+0.96%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°40′N 73°56′W﻿ / ﻿40.66°N 73.93°W"
2,Los Angeles,California,"3,970,219","3,792,621",+4.68%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34°01′N 118°25′W﻿ / ﻿34.01°N 118.41°W
3,Chicago,Illinois,"2,677,643","2,695,598",−0.67%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41°50′N 87°41′W﻿ / ﻿41.83°N 87.68°W
4,Houston,Texas,"2,316,120","2,100,263",+10.28%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29°47′N 95°23′W﻿ / ﻿29.78°N 95.39°W
5,Phoenix,Arizona,"1,708,127","1,445,632",+18.16%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33°34′N 112°05′W﻿ / ﻿33.57°N 112.09°W
6,Philadelphia[e],Pennsylvania,"1,578,487","1,526,006",+3.44%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40°00′N 75°08′W﻿ / ﻿40.00°N 75.13°W
7,San Antonio,Texas,"1,567,118","1,327,407",+18.06%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29°28′N 98°31′W﻿ / ﻿29.47°N 98.52°W
8,San Diego,California,"1,422,420","1,307,402",+8.80%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32°49′N 117°08′W﻿ / ﻿32.81°N 117.13°W
9,Dallas,Texas,"1,343,266","1,197,816",+12.14%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32°47′N 96°46′W﻿ / ﻿32.79°N 96.76°W
10,San Jose,California,"1,013,616","945,942",+7.15%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37°17′N 121°49′W﻿ / ﻿37.29°N 121.81°W
11,Austin,Texas,"995,484","790,390",+25.95%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30°18′N 97°45′W﻿ / ﻿30.30°N 97.75°W
12,Fort Worth,Texas,"927,720","741,206",+25.16%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32°47′N 97°20′W﻿ / ﻿32.78°N 97.34°W
13,Jacksonville[f],Florida,"920,570","821,784",+12.02%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30°20′N 81°40′W﻿ / ﻿30.33°N 81.66°W
14,Columbus,Ohio,"903,852","787,033",+14.84%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39°59′N 82°59′W﻿ / ﻿39.98°N 82.98°W
15,Charlotte,North Carolina,"900,350","731,424",+23.10%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35°12′N 80°50′W﻿ / ﻿35.20°N 80.83°W
16,Indianapolis[g],Indiana,"877,903","820,445",+7.00%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39°46′N 86°08′W﻿ / ﻿39.77°N 86.14°W
17,San Francisco[h],California,"866,606","805,235",+7.62%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37°43′N 123°02′W﻿ / ﻿37.72°N 123.03°W
18,Seattle,Washington,"769,714","608,660",+26.46%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47°37′N 122°21′W﻿ / ﻿47.62°N 122.35°W
19,Denver[i],Colorado,"735,538","600,158",+22.56%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39°46′N 104°53′W﻿ / ﻿39.76°N 104.88°W
20,Washington[j],District of Columbia,"712,816","601,723",+18.46%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2",38°54′N 77°01′W﻿ / ﻿38.90°N 77.01°W
21,Boston,Massachusetts,"691,531","617,594",+11.97%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42°20′N 71°01′W﻿ / ﻿42.33°N 71.02°W
22,El Paso,Texas,"681,534","649,121",+4.99%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31°50′N 106°25′W﻿ / ﻿31.84°N 106.42°W
23,Nashville[k],Tennessee,"671,295","601,222",+11.66%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36°10′N 86°47′W﻿ / ﻿36.17°N 86.78°W
24,Detroit,Michigan,"665,369","713,777",−6.78%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42°23′N 83°06′W﻿ / ﻿42.38°N 83.10°W
25,Las Vegas,Nevada,"662,368","583,756",+13.47%,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36°13′N 115°16′W﻿ / ﻿36.22°N 115.26°W
26,Oklahoma City,Oklahoma,"662,314","579,999",+14.19%,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35°28′N 97°31′W﻿ / ﻿35.46°N 97.51°W
27,Portland,Oregon,"656,751","583,776",+12.50%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45°32′N 122°39′W﻿ / ﻿45.53°N 122.65°W
28,Memphis,Tennessee,"649,705","646,889",+0.44%,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35°06′N 89°58′W﻿ / ﻿35.10°N 89.97°W
29,Louisville[l],Kentucky,"618,338","597,337",+3.52%,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38°10′N 85°38′W﻿ / ﻿38.16°N 85.64°W
30,Milwaukee,Wisconsin,"589,067","594,833",−0.97%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43°04′N 87°58′W﻿ / ﻿43.06°N 87.96°W
31,Baltimore[m],Maryland,"586,131","620,961",−5.61%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39°18′N 76°37′W﻿ / ﻿39.30°N 76.61°W
32,Albuquerque,New Mexico,"562,540","545,852",+3.06%,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35°06′N 106°38′W﻿ / ﻿35.10°N 106.64°W
33,Tucson,Arizona,"553,571","520,116",+6.43%,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32°09′N 110°52′W﻿ / ﻿32.15°N 110.87°W
34,Fresno,California,"530,267","494,665",+7.20%,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36°47′N 119°47′W﻿ / ﻿36.78°N 119.79°W
35,Mesa,Arizona,"528,159","439,041",+20.30%,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33°24′N 111°43′W﻿ / ﻿33.40°N 111.71°W
36,Sacramento,California,"512,838","466,488",+9.94%,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38°34′N 121°28′W﻿ / ﻿38.56°N 121.46°W
37,Atlanta,Georgia,"512,550","420,003",+22.03%,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33°46′N 84°25′W﻿ / ﻿33.76°N 84.42°W
38,Kansas City,Missouri,"497,159","459,787",+8.13%,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39°07′N 94°33′W﻿ / ﻿39.12°N 94.55°W
39,Colorado Springs,Colorado,"482,131","416,427",+15.78%,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38°52′N 104°46′W﻿ / ﻿38.86°N 104.76°W
40,Omaha,Nebraska,"478,393","408,958",+16.98%,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41°16′N 96°02′W﻿ / ﻿41.26°N 96.04°W
41,Raleigh,North Carolina,"474,414","403,892",+17.46%,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35°50′N 78°38′W﻿ / ﻿35.83°N 78.64°W
42,Miami,Florida,"471,525","399,457",+18.04%,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25°46′N 80°12′W﻿ / ﻿25.77°N 80.20°W
43,Long Beach,California,"454,681","462,257",−1.64%,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33°48′N 118°09′W﻿ / ﻿33.80°N 118.15°W
44,Virginia Beach[m],Virginia,"451,231","437,994",+3.02%,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36°47′N 76°01′W﻿ / ﻿36.78°N 76.02°W
45,Minneapolis,Minnesota,"433,111","382,578",+13.21%,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44°58′N 93°16′W﻿ / ﻿44.96°N 93.26°W
46,Oakland,California,"424,891","390,724",+8.74%,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37°46′N 122°13′W﻿ / ﻿37.76°N 122.22°W
47,Tampa,Florida,"407,599","335,709",+21.41%,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27°58′N 82°28′W﻿ / ﻿27.97°N 82.47°W
48,Tulsa,Oklahoma,"403,166","391,906",+2.87%,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36°07′N 95°54′W﻿ / ﻿36.12°N 95.90°W
49,Arlington,Texas,"398,864","365,438",+9.15%,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32°42′N 97°07′W﻿ / ﻿32.70°N 97.12°W
50,Wichita,Kansas,"391,731","382,368",+2.45%,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37°41′N 97°20′W﻿ / ﻿37.69°N 97.34°W
51,New Orleans[n],Louisiana,"389,476","343,829",+13.28%,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30°03′N 89°56′W﻿ / ﻿30.05°N 89.93°W
52,Aurora,Colorado,"387,377","325,078",+19.16%,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39°41′N 104°41′W﻿ / ﻿39.68°N 104.68°W
53,Bakersfield,California,"385,725","347,483",+11.01%,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35°19′N 119°01′W﻿ / ﻿35.32°N 119.01°W
54,Cleveland,Ohio,"378,589","396,815",−4.59%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41°28′N 81°40′W﻿ / ﻿41.47°N 81.67°W
55,Anaheim,California,"353,676","336,265",+5.18%,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33°51′N 117°46′W﻿ / ﻿33.85°N 117.76°W
56,Honolulu[b],Hawaii,"341,555","337,256",+1.27%,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21°19′N 157°50′W﻿ / ﻿21.32°N 157.84°W
57,Santa Ana,California,"331,301","324,528",+2.09%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33°44′N 117°53′W﻿ / ﻿33.73°N 117.88°W
58,Riverside,California,"330,786","303,871",+8.86%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33°56′N 117°23′W﻿ / ﻿33.93°N 117.39°W
59,Henderson,Nevada,"329,172","257,729",+27.72%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36°00′N 115°02′W﻿ / ﻿36.00°N 115.03°W
60,Corpus Christi,Texas,"327,248","305,215",+7.22%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27°45′N 97°10′W﻿ / ﻿27.75°N 97.17°W
61,Lexington[o],Kentucky,"324,735","295,803",+9.78%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38°02′N 84°27′W﻿ / ﻿38.04°N 84.45°W
62,Stockton,California,"312,716","291,707",+7.20%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37°58′N 121°19′W﻿ / ﻿37.97°N 121.31°W
63,Saint Paul,Minnesota,"306,717","285,068",+7.59%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44°56′N 93°06′W﻿ / ﻿44.94°N 93.10°W
64,Cincinnati,Ohio,"304,548","296,943",+2.56%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39°08′N 84°30′W﻿ / ﻿39.14°N 84.50°W
65,Pittsburgh,Pennsylvania,"299,226","305,704",−2.12%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′N 79°58′W﻿ / ﻿40.43°N 79.97°W
66,Greensboro,North Carolina,"297,878","269,666",+10.46%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′N 79°49′W﻿ / ﻿36.09°N 79.82°W
67,St. Louis[m],Missouri,"297,645","319,294",−6.78%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′N 90°14′W﻿ / ﻿38.63°N 90.24°W
68,Plano,Texas,"291,296","259,841",+12.11%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′N 96°44′W﻿ / ﻿33.05°N 96.74°W
69,Lincoln,Nebraska,"290,505","258,379",+12.43%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°49′N 96°41′W﻿ / ﻿40.81°N 96.68°W
70,Orlando,Florida,"289,457","238,300",+21.47%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′N 81°16′W﻿ / ﻿28.41°N 81.27°W
71,Anchorage[p],Alaska,"287,095","291,826",−1.62%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′N 149°17′W﻿ / ﻿61.17°N 149.28°W
72,Durham,North Carolina,"285,897","228,330",+25.21%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°59′N 78°54′W﻿ / ﻿35.98°N 78.90°W
73,Irvine,California,"283,700","212,375",+33.58%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′N 117°46′W﻿ / ﻿33.67°N 117.77°W
74,Newark,New Jersey,"282,520","277,140",+1.94%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′N 74°10′W﻿ / ﻿40.72°N 74.17°W
75,Chula Vista,California,"272,979","243,916",+11.92%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′N 117°01′W﻿ / ﻿32.62°N 117.01°W
76,Fort Wayne,Indiana,"272,398","253,691",+7.37%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′N 85°08′W﻿ / ﻿41.08°N 85.14°W
77,Toledo,Ohio,"271,455","287,208",−5.48%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°40′N 83°35′W﻿ / ﻿41.66°N 83.58°W
78,St. Petersburg,Florida,"267,802","244,769",+9.41%,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27°46′N 82°38′W﻿ / ﻿27.76°N 82.64°W
79,Chandler,Arizona,"265,398","236,123",+12.40%,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33°17′N 111°51′W﻿ / ﻿33.28°N 111.85°W
80,Laredo,Texas,"263,640","236,091",+11.67%,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27°34′N 99°29′W﻿ / ﻿27.56°N 99.48°W
81,Madison,Wisconsin,"263,094","233,209",+12.81%,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43°05′N 89°25′W﻿ / ﻿43.08°N 89.42°W
82,Jersey City,New Jersey,"262,664","247,597",+6.09%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°43′N 74°04′W﻿ / ﻿40.71°N 74.06°W
83,Scottsdale,Arizona,"262,647","217,385",+20.82%,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33°41′N 111°52′W﻿ / ﻿33.68°N 111.86°W
84,Lubbock,Texas,"262,611","229,573",+14.39%,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33°34′N 101°53′W﻿ / ﻿33.56°N 101.88°W
