"","combine","coefficient","se","t","number"
"1","0",0,0,0,1
"2","win7_school_close",-0.0252852172078367,0.0698226996767256,-0.362134625628994,1
"3","win7_childcare_close",0.0372305044408158,0.0579942773662154,0.641968589516462,1
"4","win7_school_close+win7_childcare_close",0.0119452872329791,0.0734402166871898,0.162653213345744,2
"5","win7_shop_close",0.100113516546295,0.0473289802520439,2.1152688271151,1
"6","win7_school_close+win7_shop_close",0.074828299338458,0.0919234327099,0.814028557599755,2
"7","win7_childcare_close+win7_shop_close",0.13734402098711,0.052136891322071,2.63429632078906,2
"8","win7_school_close+win7_childcare_close+win7_shop_close",0.112058803779274,0.0779939765359366,1.43676228288785,3
"9","win7_restaurant_close",-0.0492929349053065,0.042092588344726,-1.17105972437741,1
"10","win7_school_close+win7_restaurant_close",-0.0745781521131431,0.0761171383329117,-0.979781344208744,2
"11","win7_childcare_close+win7_restaurant_close",-0.0120624304644906,0.0667324424810706,-0.180758114284702,2
"12","win7_school_close+win7_childcare_close+win7_restaurant_close",-0.0373476476723273,0.0750344685035357,-0.497739884311535,3
"13","win7_shop_close+win7_restaurant_close",0.0508205816409882,0.0592706439327326,0.857432588359686,2
"14","win7_school_close+win7_shop_close+win7_restaurant_close",0.0255353644331515,0.0941791787284258,0.271135985447326,3
"15","win7_childcare_close+win7_shop_close+win7_restaurant_close",0.088051086081804,0.0575267674733524,1.5306107043576,3
"16","win7_school_close+win7_childcare_close+win7_shop_close+win7_restaurant_close",0.0627658688739673,0.0762951982720983,0.822671285945413,4
"17","win7_bar_close",0.0464763972346161,0.0406284337893358,1.14393770322535,1
"18","win7_school_close+win7_bar_close",0.0211911800267794,0.0801826949650983,0.264286203351027,2
"19","win7_childcare_close+win7_bar_close",0.0837069016754319,0.0771055448014168,1.08561455458251,2
"20","win7_school_close+win7_childcare_close+win7_bar_close",0.0584216844675952,0.0887624909998616,0.658179866399719,3
"21","win7_shop_close+win7_bar_close",0.146589913780911,0.0623806587691197,2.34992570891985,2
"22","win7_school_close+win7_shop_close+win7_bar_close",0.121304696573074,0.100023083573182,1.21276701576912,3
"23","win7_childcare_close+win7_shop_close+win7_bar_close",0.183820418221727,0.0728067912575452,2.52477021781504,3
"24","win7_school_close+win7_childcare_close+win7_shop_close+win7_bar_close",0.15853520101389,0.0925689977364123,1.71261658752442,4
"25","win7_restaurant_close+win7_bar_close",-0.00281653767069039,0.0411659782865868,-0.0684190632148323,2
"26","win7_school_close+win7_restaurant_close+win7_bar_close",-0.0281017548785271,0.0749670332364175,-0.374854835056695,3
"27","win7_childcare_close+win7_restaurant_close+win7_bar_close",0.0344139667701254,0.0728514231428727,0.472385648563576,3
"28","win7_school_close+win7_childcare_close+win7_restaurant_close+win7_bar_close",0.00912874956228871,0.0799228877581756,0.114219466017166,4
"29","win7_shop_close+win7_restaurant_close+win7_bar_close",0.0972969788756043,0.0586217160404785,1.65974293226797,3
"30","win7_school_close+win7_shop_close+win7_restaurant_close+win7_bar_close",0.0720117616677676,0.0932555607716549,0.772198044512275,4
"31","win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_bar_close",0.13452748331642,0.0645297182310771,2.08473687789376,4
"32","win7_school_close+win7_childcare_close+win7_shop_close+win7_restaurant_close+win7_bar_close",0.109242266108583,0.0811116415070808,1.34681365188555,5
"33","win7_entertainment_close",-0.191566123330668,0.0915575233748729,-2.09230346419835,1
"34","win7_school_close+win7_entertainment_close",-0.216851340538504,0.116975114031576,-1.85382457058318,2
"35","win7_childcare_close+win7_entertainment_close",-0.154335618889852,0.108674827262606,-1.42015978104027,2
"36","win7_school_close+win7_childcare_close+win7_entertainment_close",-0.179620836097689,0.119438415622456,-1.5038782552631,3
"37","win7_shop_close+win7_entertainment_close",-0.091452606784373,0.0945639664391213,-0.967097830474874,2
